enhancer	log2_FC	p	diff_fdr
chr2:241366341-241366661	-2.733931872	2.52E-13	1.69E-11
chr20:1869680-1870159	-2.081429459	2.54E-13	1.69E-11
chr1:234738546-234738834	-1.630631662	3.04E-13	1.99E-11
chr17:16375722-16375971	-1.078109961	3.27E-13	2.12E-11
chr19:867005-867400	-2.312718868	4.15E-13	2.66E-11
chr12:6454526-6454970	-1.102827119	4.20E-13	2.66E-11
chr18:74277239-74277430	-2.563477152	4.35E-13	2.72E-11
chr11:12561282-12561501	-1.759724677	5.10E-13	3.16E-11
chr12:6455086-6455266	-1.302601035	5.64E-13	3.45E-11
chr20:1757222-1757297	-1.979645975	6.60E-13	3.99E-11
chr9:102021755-102022139	-2.451989209	7.77E-13	4.64E-11
chr10:43249248-43249682	-1.295422986	9.74E-13	5.70E-11
chr20:30623316-30623619	-2.020929751	1.34E-12	7.76E-11
chr11:126001132-126001515	-4.829573705	1.48E-12	8.47E-11
chr19:863983-864016	-2.326487086	1.65E-12	9.36E-11
chr7:151591335-151591652	-3.169758695	1.69E-12	9.48E-11
chr22:39513543-39514109	-1.952170759	1.89E-12	1.05E-10
chr8:2530387-2530737	-2.617061896	1.94E-12	1.07E-10
chr6:113748852-113749029	-2.493434474	2.67E-12	1.46E-10
chr4:40165955-40166245	-1.220448117	3.21E-12	1.73E-10
chr6:112428707-112428734	-1.224757202	4.69E-12	2.50E-10
chr14:95984814-95985165	-3.032561623	5.34E-12	2.82E-10
chr20:30621646-30621751	-1.71478798	7.23E-12	3.78E-10
chr10:129893841-129894010	3.07796523	7.31E-12	3.79E-10
chr20:30628092-30628575	-2.181794537	1.21E-11	6.20E-10
chr16:49893175-49893278	-2.918850353	1.37E-11	6.97E-10
chr17:8095551-8095762	-1.103111937	1.44E-11	7.28E-10
chr11:10938352-10938640	-1.894194918	1.88E-11	9.39E-10
chr10:21581688-21582509	-1.821303827	2.02E-11	1.00E-09
chr18:12048672-12049055	4.506039365	2.06E-11	1.01E-09
chr22:50364350-50364715	-1.72043793	2.16E-11	1.05E-09
chr8:6726672-6726933	-2.40639604	2.87E-11	1.38E-09
chr11:122940079-122940521	-1.707373557	2.92E-11	1.39E-09
chr21:45916945-45917393	-2.247376345	2.99E-11	1.42E-09
chr7:152338571-152338711	1.621509653	3.43E-11	1.61E-09
chr16:2557760-2557909	-1.333687479	3.63E-11	1.69E-09
chr5:158528865-158528877	-3.392621675	4.06E-11	1.86E-09
chr9:138808024-138808108	1.374622192	4.35E-11	1.97E-09
chr17:17397062-17397447	-1.291548094	4.38E-11	1.97E-09
chr14:31905446-31905450	-1.417390506	5.64E-11	2.52E-09
chr9:132539303-132540203	-1.407377001	6.11E-11	2.70E-09
chr7:2575019-2575461	-1.027943168	6.77E-11	2.97E-09
chr8:27559719-27559880	-1.859992758	7.35E-11	3.20E-09
chr22:46008367-46008678	-2.158487303	7.51E-11	3.24E-09
chr20:1842464-1842590	-2.497729077	7.84E-11	3.36E-09
chr1:236230188-236230739	-1.765697903	8.26E-11	3.51E-09
chr8:96194640-96194860	1.601347965	8.81E-11	3.72E-09
chr11:45000515-45000921	2.523042422	9.30E-11	3.89E-09
chr11:1751706-1752102	-2.902644257	1.16E-10	4.77E-09
chr6:116767554-116767785	-2.01785139	1.19E-10	4.87E-09
chr19:675402-675838	-1.983808207	1.21E-10	4.92E-09
chr8:144112654-144112974	-1.334794074	1.28E-10	5.16E-09
chr11:125997963-125998111	-3.750179238	1.43E-10	5.72E-09
chr1:16489021-16489207	-1.691164515	1.96E-10	7.71E-09
chr8:12615395-12615750	-2.14514944	2.13E-10	8.34E-09
chr10:5528772-5529321	2.57842737	2.15E-10	8.36E-09
chr5:180633694-180634117	-1.222897027	2.18E-10	8.41E-09
chr22:32614060-32614086	-1.514834344	2.26E-10	8.66E-09
chr20:1786412-1786943	-2.243498345	2.58E-10	9.83E-09
chr20:1744868-1745008	-3.318482175	2.62E-10	9.92E-09
chr12:52916140-52916794	-1.682034211	2.77E-10	1.04E-08
chr7:115849891-115849987	-1.49278378	2.92E-10	1.08E-08
chr16:66398320-66398884	-1.33214881	2.92E-10	1.08E-08
chr11:6344620-6344857	-1.763342794	3.11E-10	1.14E-08
chr5:1313264-1313453	2.525006501	3.82E-10	1.40E-08
chr20:1747670-1747986	-3.147414142	3.89E-10	1.41E-08
chr22:38614588-38614867	-2.405299394	4.44E-10	1.60E-08
chr20:1852496-1852815	-2.862102474	4.70E-10	1.68E-08
chr11:7913705-7913868	-3.300950632	4.72E-10	1.68E-08
chr6:163775171-163775345	-3.038247622	5.19E-10	1.83E-08
chr10:135072735-135073128	1.508812091	5.73E-10	2.01E-08
chr16:3058105-3058264	1.499169276	6.05E-10	2.11E-08
chr3:149229459-149229794	-3.293871612	7.28E-10	2.52E-08
chr3:145894951-145895144	-2.23639766	7.90E-10	2.72E-08
chr4:89377235-89377564	-1.349906774	8.10E-10	2.77E-08
chr5:173208911-173209406	-3.055756807	8.95E-10	3.04E-08
chr8:144843026-144843252	1.98656139	1.06E-09	3.58E-08
chr4:124621616-124621886	-2.439320411	1.13E-09	3.78E-08
chr4:184718887-184719489	-1.6950318	1.13E-09	3.78E-08
chr10:8089680-8090146	1.749487759	1.23E-09	4.09E-08
chr7:128093966-128094206	-4.122984716	1.32E-09	4.34E-08
chr10:6183239-6183522	-4.388554024	1.34E-09	4.37E-08
chr16:68765918-68766309	-1.73825296	1.49E-09	4.82E-08
chr21:47394721-47394936	-2.000539791	1.50E-09	4.82E-08
chr15:96739448-96739540	-2.491763438	1.54E-09	4.92E-08
chr20:1851849-1852180	-2.672462128	1.64E-09	5.21E-08
chr21:45604332-45605113	-1.138116811	2.04E-09	6.46E-08
chr11:122936469-122936659	-1.395811518	2.09E-09	6.58E-08
chr16:14424623-14424858	-1.027944074	2.16E-09	6.74E-08
chr18:13137958-13138425	-1.277868542	2.37E-09	7.38E-08
chr8:6721983-6722491	-2.817071074	2.44E-09	7.54E-08
chr5:54896440-54896979	-2.719816535	2.55E-09	7.80E-08
chr4:86927841-86928538	-1.159454837	2.68E-09	8.13E-08
chr16:11633611-11633797	-1.574142859	2.69E-09	8.13E-08
chr18:20046739-20046926	-2.889513192	3.00E-09	8.98E-08
chr21:28218728-28219247	-1.443335498	3.17E-09	9.37E-08
chr7:128094514-128094949	-2.982237859	3.75E-09	1.10E-07
chr6:158136804-158137189	-3.257187476	4.31E-09	1.25E-07
chr5:964244-964536	2.133974109	4.48E-09	1.30E-07
chr9:120523356-120523735	-1.51332862	4.58E-09	1.32E-07
chrX:2816950-2817136	-2.334551241	4.62E-09	1.32E-07
chr10:3987998-3988450	-1.789544154	4.66E-09	1.32E-07
chr10:8903701-8904023	3.554313659	4.66E-09	1.32E-07
chr5:180253184-180253441	-1.232790599	4.85E-09	1.37E-07
chr8:97350195-97350563	-1.266335346	4.96E-09	1.39E-07
chr7:95179507-95179842	-2.965646279	5.31E-09	1.47E-07
chr20:1757792-1758093	-2.000558131	5.36E-09	1.48E-07
chr6:140299062-140299512	-1.786450324	5.86E-09	1.60E-07
chr11:364521-364678	-2.240623446	6.01E-09	1.64E-07
chr7:5650367-5650762	-1.312364332	6.07E-09	1.64E-07
chr7:95238124-95238400	-2.560252503	6.53E-09	1.76E-07
chr16:14423320-14423633	-1.014675461	6.58E-09	1.76E-07
chr20:37280609-37280856	-1.786430892	6.75E-09	1.80E-07
chr9:114585349-114585680	-1.187429943	6.89E-09	1.83E-07
chr10:4283808-4284356	-1.209275637	7.06E-09	1.85E-07
chr6:7701709-7702095	-2.175047615	7.36E-09	1.93E-07
chr3:187464496-187464942	-1.389495809	7.65E-09	1.99E-07
chr8:6725876-6726138	-2.406658501	7.97E-09	2.07E-07
chr17:7035868-7036444	-2.599018887	8.01E-09	2.07E-07
chr7:55063666-55063958	-2.685824272	8.32E-09	2.14E-07
chr1:24477754-24478041	-1.256228063	8.74E-09	2.23E-07
chr20:61192605-61193059	2.088731979	8.81E-09	2.24E-07
chr20:62182537-62182817	1.822363255	9.04E-09	2.29E-07
chr10:6183553-6183785	-2.672107436	9.51E-09	2.40E-07
chr20:39312030-39312408	-1.918054694	9.89E-09	2.48E-07
chrX:124339178-124339332	-2.698401317	1.08E-08	2.69E-07
chr4:80814219-80814317	-1.953490763	1.16E-08	2.87E-07
chr3:145883195-145883481	-1.527917027	1.19E-08	2.93E-07
chr21:47512247-47512670	-1.095181669	1.23E-08	3.01E-07
chr1:12589452-12589763	-1.949336332	1.26E-08	3.09E-07
chr10:3511181-3511689	-2.406582458	1.44E-08	3.50E-07
chr10:43249715-43249807	-1.588004319	1.47E-08	3.54E-07
chr8:119917519-119917835	1.49461504	1.65E-08	3.98E-07
chr7:120938122-120938485	-1.515059231	1.74E-08	4.15E-07
chr10:30235740-30236524	-3.244821973	1.81E-08	4.30E-07
chr15:100914283-100914527	-2.051881009	1.90E-08	4.50E-07
chr6:112356617-112357007	-3.32659052	2.07E-08	4.86E-07
chr3:195896732-195897063	-1.145746908	2.09E-08	4.89E-07
chr12:52915277-52915747	-1.824497783	2.11E-08	4.91E-07
chr4:88461613-88461921	4.444682613	2.13E-08	4.91E-07
chr7:129421490-129421976	1.747849974	2.13E-08	4.91E-07
chr10:17254796-17255338	-1.063676822	2.56E-08	5.83E-07
chr5:6775804-6775859	1.767060158	2.57E-08	5.83E-07
chr10:6163143-6163430	-2.738878727	2.58E-08	5.83E-07
chr1:2140151-2140337	-1.308569964	2.58E-08	5.83E-07
chr20:56291330-56291601	2.135011326	2.63E-08	5.90E-07
chr11:129244480-129244782	-1.7507078	2.80E-08	6.26E-07
chr6:151178746-151179109	-1.352892726	2.87E-08	6.40E-07
chr11:14916687-14916856	-3.584557301	2.99E-08	6.61E-07
chr7:129420694-129421120	1.637984649	2.99E-08	6.61E-07
chr10:6171883-6172155	-3.097208077	3.18E-08	7.01E-07
chr7:64072607-64072919	3.071549145	3.32E-08	7.28E-07
chr3:141174545-141175038	1.55692964	3.59E-08	7.79E-07
chr10:6170843-6171197	-3.60175496	3.90E-08	8.42E-07
chr11:33713598-33714029	-1.310791815	3.99E-08	8.58E-07
chr4:185769532-185770063	-2.362348856	4.12E-08	8.82E-07
chr1:14154959-14155163	2.772687804	4.46E-08	9.52E-07
chr4:189329642-189330099	-2.11388063	5.34E-08	1.13E-06
chr10:3985648-3985956	-3.769305045	5.59E-08	1.17E-06
chr12:52241099-52241559	-2.935071262	5.64E-08	1.18E-06
chr21:48003626-48004009	-1.17793668	5.76E-08	1.20E-06
chr1:233811305-233811449	1.75802483	5.80E-08	1.20E-06
chr4:88480312-88480555	4.343344986	5.92E-08	1.22E-06
chr20:23140057-23140426	-2.327711236	5.96E-08	1.22E-06
chr4:190708353-190708364	-3.967473059	6.04E-08	1.24E-06
chr16:79692252-79692530	-1.910442752	6.19E-08	1.26E-06
chr6:170492436-170492647	-1.742519321	6.21E-08	1.26E-06
chr12:42984702-42985091	2.258640809	6.36E-08	1.28E-06
chr20:5046140-5046913	-1.012105706	6.41E-08	1.29E-06
chr1:236231203-236231484	-1.604978377	6.63E-08	1.33E-06
chr22:48035641-48035928	3.129690695	6.87E-08	1.37E-06
chr18:2916275-2916499	-1.044258642	7.42E-08	1.47E-06
chr4:88480669-88480961	2.786176737	7.72E-08	1.52E-06
chr6:170208297-170208700	-1.0033741	7.74E-08	1.52E-06
chr3:134100770-134101008	-3.195465321	8.03E-08	1.57E-06
chr10:5596279-5596669	2.774621453	8.58E-08	1.67E-06
chr2:235360536-235360912	-2.746721051	9.05E-08	1.75E-06
chr20:25227226-25227454	-1.271255634	9.18E-08	1.77E-06
chr5:1315765-1316275	1.93037962	9.37E-08	1.80E-06
chr11:2286743-2287171	3.312374957	9.97E-08	1.91E-06
chr10:6182474-6182743	-3.80220688	1.00E-07	1.91E-06
chr18:56494810-56495111	4.852438815	1.01E-07	1.92E-06
chr16:2910811-2910988	1.554777834	1.04E-07	1.97E-06
chr22:18551113-18551402	-2.492821529	1.04E-07	1.97E-06
chr22:42839941-42840323	1.803370578	1.05E-07	1.98E-06
chr20:1839579-1839847	-1.945494722	1.06E-07	1.99E-06
chr14:23083172-23083436	-1.185157369	1.08E-07	2.01E-06
chr7:135459124-135459310	2.473812287	1.08E-07	2.01E-06
chr21:46786853-46787266	1.174340029	1.23E-07	2.28E-06
chr2:232505425-232505799	-2.640408354	1.26E-07	2.34E-06
chr16:1349375-1349723	1.935422641	1.27E-07	2.34E-06
chr11:33711808-33712191	-1.174558803	1.28E-07	2.35E-06
chr11:113929515-113929738	-2.698041193	1.33E-07	2.43E-06
chr16:53075249-53075847	-2.05686316	1.35E-07	2.47E-06
chr5:172192263-172193766	-1.343108562	1.38E-07	2.52E-06
chrX:73246732-73246982	-1.067863746	1.56E-07	2.81E-06
chr11:122177708-122178168	-2.385744424	1.57E-07	2.82E-06
chr4:88463051-88463413	3.987504557	1.79E-07	3.21E-06
chr15:93794547-93794631	-2.93821597	1.93E-07	3.44E-06
chr22:30669806-30670065	-1.052561922	1.96E-07	3.49E-06
chr5:172234136-172234644	-2.447916173	2.05E-07	3.63E-06
chr2:235354817-235355457	-1.413181909	2.13E-07	3.76E-06
chr8:16476986-16477261	2.658633867	2.16E-07	3.80E-06
chr8:144107532-144108153	-1.13190041	2.28E-07	4.01E-06
chr9:112937115-112937268	-2.228867894	2.41E-07	4.21E-06
chr9:139538309-139538610	-1.03131988	2.46E-07	4.28E-06
chr14:95992355-95992583	-1.600106866	2.59E-07	4.48E-06
chr22:30671576-30671914	-1.041118185	2.61E-07	4.52E-06
chr1:27185457-27185720	-1.756933727	2.69E-07	4.63E-06
chr12:27006268-27006662	-1.839483546	2.91E-07	4.96E-06
chr1:16511251-16511623	-1.378878987	2.91E-07	4.96E-06
chr10:5588881-5589169	3.698271602	2.97E-07	5.04E-06
chr9:132241150-132241608	1.918598006	3.03E-07	5.13E-06
chr6:126068034-126068254	-1.421951343	3.05E-07	5.14E-06
chr7:45243795-45243955	-1.124824948	3.64E-07	6.09E-06
chr10:35932153-35932694	-1.748520778	3.65E-07	6.09E-06
chr10:5590010-5590295	2.305444974	3.77E-07	6.27E-06
chr7:135443440-135443607	-2.164117249	3.79E-07	6.29E-06
chr1:227976197-227976490	-1.514324788	3.96E-07	6.55E-06
chr6:104975114-104975455	-2.949887746	4.07E-07	6.69E-06
chr16:88299166-88299470	2.026686368	4.11E-07	6.73E-06
chr17:4811647-4812042	-1.340979161	4.38E-07	7.11E-06
chr6:134669516-134669878	-1.8980709	4.40E-07	7.11E-06
chr16:66164410-66164809	4.943904051	4.41E-07	7.11E-06
chr11:9636768-9636900	-1.336268683	4.80E-07	7.72E-06
chr20:61200879-61201219	2.427705227	4.89E-07	7.85E-06
chr21:28795435-28795716	-1.94069906	5.03E-07	8.06E-06
chr7:22894313-22894860	-1.149201237	5.30E-07	8.45E-06
chr12:46902978-46903383	5.030960593	5.51E-07	8.74E-06
chr8:2774023-2774367	-2.085380617	5.65E-07	8.93E-06
chr4:37244545-37244895	-3.533993138	6.11E-07	9.63E-06
chr7:119028-119765	-1.66572556	6.33E-07	9.96E-06
chr10:3850308-3850795	3.085979193	6.99E-07	1.10E-05
chr1:27184739-27184972	-1.822884181	7.13E-07	1.11E-05
chr10:35258130-35258295	-4.040287565	8.01E-07	1.25E-05
chr10:9013579-9013972	5.572904126	8.23E-07	1.28E-05
chr22:42332206-42332544	1.385406336	8.32E-07	1.29E-05
chr8:144300737-144301128	-2.857203633	8.33E-07	1.29E-05
chr9:120487715-120488143	-1.443359826	8.68E-07	1.34E-05
chr4:100325584-100326020	-2.909202034	8.93E-07	1.37E-05
chr2:237640726-237641053	-1.834162482	8.94E-07	1.37E-05
chr15:99090927-99091248	-1.200458837	8.99E-07	1.37E-05
chrX:124340013-124340052	-1.567028832	9.08E-07	1.38E-05
chr6:125637722-125638122	-2.346630657	9.22E-07	1.39E-05
chr7:86948267-86948659	1.946704808	9.81E-07	1.48E-05
chr11:1894620-1894889	-2.027159502	9.91E-07	1.49E-05
chr1:229357329-229357959	-2.028951551	1.06E-06	1.58E-05
chr5:172221140-172221536	-2.129657855	1.07E-06	1.59E-05
chr18:10141033-10141178	-3.26177004	1.14E-06	1.70E-05
chr6:159488301-159488791	-1.790593536	1.15E-06	1.71E-05
chr10:5587810-5588190	3.155324749	1.20E-06	1.77E-05
chr20:25226687-25226893	-1.106747286	1.21E-06	1.78E-05
chr7:1501148-1501314	-2.247381772	1.22E-06	1.79E-05
chr20:1792448-1792844	-2.488053971	1.23E-06	1.79E-05
chr3:195897824-195897955	-1.03921433	1.23E-06	1.79E-05
chr2:242801923-242802843	-1.309263914	1.27E-06	1.85E-05
chr22:30671325-30671531	-1.171578895	1.29E-06	1.87E-05
chr22:42840483-42840921	2.064756019	1.30E-06	1.87E-05
chr21:44830426-44830842	2.124107041	1.32E-06	1.90E-05
chr14:95861859-95861987	-2.558853852	1.36E-06	1.96E-05
chr18:20263132-20263811	-1.317742922	1.37E-06	1.96E-05
chr5:172222248-172222806	-1.802338755	1.43E-06	2.04E-05
chr2:235353626-235353934	-1.55014867	1.43E-06	2.04E-05
chr18:74399023-74399139	3.277323029	1.48E-06	2.11E-05
chr10:5535635-5536039	2.799518913	1.50E-06	2.13E-05
chr12:51327584-51327783	-1.186480501	1.54E-06	2.18E-05
chr17:6925152-6925653	-2.412619517	1.57E-06	2.21E-05
chr16:51670868-51671078	3.35260661	1.59E-06	2.24E-05
chr20:58955192-58955446	-1.479666844	1.60E-06	2.24E-05
chr10:135074691-135075148	1.277486853	1.75E-06	2.44E-05
chr8:144108350-144108468	-1.042549045	1.78E-06	2.49E-05
chr14:42075138-42075996	-1.311890949	1.89E-06	2.63E-05
chr22:42345357-42345934	2.033253108	2.04E-06	2.82E-05
chr6:169569548-169569688	1.507490234	2.07E-06	2.85E-05
chr8:144301806-144302247	-2.317015943	2.14E-06	2.94E-05
chr7:142246179-142246560	2.266115048	2.17E-06	2.98E-05
chr22:39604307-39604633	-1.177900556	2.21E-06	3.03E-05
chr22:51110202-51110387	-1.559953309	2.26E-06	3.09E-05
chr22:46970983-46971382	2.020674938	2.36E-06	3.22E-05
chr10:3848037-3849536	2.543102639	2.50E-06	3.39E-05
chr22:42835802-42836124	2.21914593	2.52E-06	3.42E-05
chr16:66165018-66165370	4.431631726	2.63E-06	3.55E-05
chr4:124764674-124764868	-2.022376726	2.64E-06	3.56E-05
chr15:99091450-99092159	-1.091021173	2.77E-06	3.73E-05
chr10:5593718-5593999	2.86520715	2.97E-06	3.98E-05
chr1:234470466-234470691	-1.827460116	3.04E-06	4.05E-05
chr10:8090455-8090655	1.428577923	3.05E-06	4.05E-05
chr9:14992180-14992514	-1.019533989	3.31E-06	4.39E-05
chr21:17444153-17444342	-1.944437713	3.32E-06	4.39E-05
chr14:105538797-105539160	1.236023881	3.39E-06	4.48E-05
chr21:44469974-44470172	1.989627621	3.41E-06	4.49E-05
chr16:66960903-66961306	-1.520919092	3.44E-06	4.52E-05
chr1:233809261-233809638	1.555930043	3.44E-06	4.52E-05
chr8:144302525-144302816	-2.835020905	3.46E-06	4.52E-05
chr5:177513304-177513421	1.82287474	3.46E-06	4.52E-05
chr6:147235645-147236230	2.564663902	3.51E-06	4.57E-05
chr6:12242168-12242480	-1.201935854	3.56E-06	4.62E-05
chr20:46700957-46701130	2.798583228	3.74E-06	4.82E-05
chr8:144106773-144106936	-1.13669002	3.93E-06	5.05E-05
chr3:151507223-151507685	-2.029516521	4.15E-06	5.32E-05
chr6:147235088-147235549	2.19904216	4.48E-06	5.72E-05
chrX:79918713-79919107	1.643168878	4.55E-06	5.79E-05
chr17:10658369-10658680	-1.677408425	4.61E-06	5.86E-05
chr8:30435369-30435466	-1.320783016	4.71E-06	5.95E-05
chr16:3060017-3060177	1.656799082	4.79E-06	6.05E-05
chr8:22535910-22536200	-1.756763975	4.92E-06	6.18E-05
chr5:177505252-177505654	3.91415016	4.94E-06	6.19E-05
chr16:88337697-88337985	1.969434305	5.12E-06	6.40E-05
chr14:91734470-91734656	2.069948905	5.25E-06	6.55E-05
chr8:96197025-96197314	1.48390453	5.42E-06	6.74E-05
chr20:25227906-25228088	-1.254376097	5.60E-06	6.96E-05
chr16:29137517-29137756	-1.508119897	5.86E-06	7.25E-05
chr4:189365489-189365865	-2.412282412	5.89E-06	7.27E-05
chr6:143274620-143274763	-1.187642094	6.24E-06	7.68E-05
chr1:858256-858648	2.274357151	6.59E-06	8.10E-05
chr6:169556642-169556776	1.789255056	6.95E-06	8.51E-05
chr4:190708637-190708848	-4.309068978	7.05E-06	8.62E-05
chr1:234658291-234658851	-2.481042517	7.25E-06	8.85E-05
chr8:128305149-128305567	-1.772368927	7.34E-06	8.93E-05
chr11:129242787-129242887	-1.620304052	7.68E-06	9.31E-05
chr22:31030399-31030736	-1.599438445	8.06E-06	9.73E-05
chr16:85202555-85203049	-2.632978369	8.17E-06	9.83E-05
chr10:3852273-3852886	1.854033235	8.61E-06	0.000103422
chr4:121482847-121483145	-1.507244827	9.28E-06	0.000111159
chr14:91723953-91724002	1.815304687	9.36E-06	0.000111974
chr9:113020932-113021563	1.541669078	9.70E-06	0.000115781
chr14:35821559-35821658	1.538000133	9.74E-06	0.000115938
chr12:26267263-26267811	-1.919578588	9.88E-06	0.000117362
chr9:1917403-1917482	-2.126003315	1.04E-05	0.000123268
chr22:30644816-30645407	-1.723359857	1.06E-05	0.000124278
chr10:9017648-9017767	6.808004287	1.06E-05	0.000124278
chr9:13034069-13034552	3.610995764	1.08E-05	0.000126226
chr16:2917931-2918273	1.027428712	1.08E-05	0.000126226
chrX:13170049-13170410	-2.91593224	1.09E-05	0.000127274
chr8:145911932-145912089	1.667644986	1.12E-05	0.000129488
chr1:27185755-27186143	-1.453156066	1.12E-05	0.000129488
chr7:45244610-45244975	-1.099799889	1.12E-05	0.000129622
chr20:1766926-1767304	-2.064070932	1.12E-05	0.000129622
chr22:32511629-32511843	-2.08473155	1.17E-05	0.000134956
chr7:27386345-27386573	3.366049286	1.19E-05	0.00013632
chr7:373094-373351	-2.599842953	1.23E-05	0.000140557
chr11:2009660-2010154	-1.88933844	1.25E-05	0.000142462
chr10:5530637-5531333	3.220053175	1.28E-05	0.000145855
chr5:173205731-173206004	-2.366348969	1.28E-05	0.000145855
chr8:61835199-61835395	1.72243653	1.32E-05	0.000148856
chr20:2812856-2812910	-1.413309815	1.32E-05	0.000148856
chr1:8198088-8198334	-1.686610928	1.39E-05	0.000156377
chr22:50364171-50364294	-1.294672619	1.40E-05	0.000156982
chr22:39608827-39609203	-1.112692284	1.40E-05	0.000157174
