enhancer	FC	p	diff_fdr
chr9:102021755-102022139	0.182758548	7.77E-13	4.64E-11
chr16:67538327-67538734	0.540742377	8.30E-13	4.91E-11
chr10:43249248-43249682	0.407416698	9.74E-13	5.70E-11
chr20:30623316-30623619	0.246399332	1.34E-12	7.76E-11
chr11:126001132-126001515	0.035168468	1.48E-12	8.47E-11
chr19:863983-864016	0.199368987	1.65E-12	9.36E-11
chr7:151591335-151591652	0.11112392	1.69E-12	9.48E-11
chr22:39513543-39514109	0.258427095	1.89E-12	1.05E-10
chr8:2530387-2530737	0.162999349	1.94E-12	1.07E-10
chr6:113748852-113749029	0.177583017	2.67E-12	1.46E-10
chr4:40165955-40166245	0.429149399	3.21E-12	1.73E-10
chr6:112428707-112428734	0.427869515	4.69E-12	2.50E-10
chr14:95984814-95985165	0.12221035	5.34E-12	2.82E-10
chr20:30621646-30621751	0.304647334	7.23E-12	3.78E-10
chr10:129893841-129894010	8.444226226	7.31E-12	3.79E-10
chr20:30628092-30628575	0.220401426	1.21E-11	6.20E-10
chr16:49893175-49893278	0.132232586	1.37E-11	6.97E-10
chr17:8095551-8095762	0.46551129	1.44E-11	7.28E-10
chr11:10938352-10938640	0.269023682	1.88E-11	9.39E-10
chr10:21581688-21582509	0.282965128	2.02E-11	1.00E-09
chr18:12048672-12049055	22.72233772	2.06E-11	1.01E-09
chr22:50364350-50364715	0.303456593	2.16E-11	1.05E-09
chr8:6726672-6726933	0.188626458	2.87E-11	1.38E-09
chr11:122940079-122940521	0.306217034	2.92E-11	1.39E-09
chr21:45916945-45917393	0.210606761	2.99E-11	1.42E-09
chr7:152338571-152338711	3.076968454	3.43E-11	1.61E-09
chr16:2557760-2557909	0.396752858	3.63E-11	1.69E-09
chr5:158528865-158528877	0.095218012	4.06E-11	1.86E-09
chr3:169508571-169508792	0.534985254	4.07E-11	1.86E-09
chr9:138808024-138808108	2.592999974	4.35E-11	1.97E-09
chr17:17397062-17397447	0.408512437	4.38E-11	1.97E-09
chr14:31905446-31905450	0.374388881	5.64E-11	2.52E-09
chr9:132539303-132540203	0.376996491	6.11E-11	2.70E-09
chr7:2575019-2575461	0.49040882	6.77E-11	2.97E-09
chr8:27559719-27559880	0.275477662	7.35E-11	3.20E-09
chr22:46008367-46008678	0.223991004	7.51E-11	3.24E-09
chr20:1842464-1842590	0.177055176	7.84E-11	3.36E-09
chr1:236230188-236230739	0.294084387	8.26E-11	3.51E-09
chr8:96194640-96194860	3.03426684	8.81E-11	3.72E-09
chr11:45000515-45000921	5.74792972	9.30E-11	3.89E-09
chr11:1751706-1752102	0.133726356	1.16E-10	4.77E-09
chr17:698193-698349	0.540215748	1.16E-10	4.77E-09
chr6:116767554-116767785	0.246925649	1.19E-10	4.87E-09
chr19:675402-675838	0.252821628	1.21E-10	4.92E-09
chr8:144112654-144112974	0.396448652	1.28E-10	5.16E-09
chr11:125997963-125998111	0.074316211	1.43E-10	5.72E-09
chr7:134862087-134862457	0.534889601	1.49E-10	5.93E-09
chr1:16489021-16489207	0.309676859	1.96E-10	7.71E-09
chr8:12615395-12615750	0.226071426	2.13E-10	8.34E-09
chr10:5528772-5529321	5.97288262	2.15E-10	8.36E-09
chr5:180633694-180634117	0.428421555	2.18E-10	8.41E-09
chr22:32614060-32614086	0.349936645	2.26E-10	8.66E-09
chr20:1786412-1786943	0.211173639	2.58E-10	9.83E-09
chr20:1744868-1745008	0.100239138	2.62E-10	9.92E-09
chr12:52916140-52916794	0.311642908	2.77E-10	1.04E-08
chr7:115849891-115849987	0.35532626	2.92E-10	1.08E-08
chr16:66398320-66398884	0.39717623	2.92E-10	1.08E-08
chr11:6344620-6344857	0.294564853	3.11E-10	1.14E-08
chr5:1313264-1313453	5.755760257	3.82E-10	1.40E-08
chr20:1747670-1747986	0.112858412	3.89E-10	1.41E-08
chr22:38614588-38614867	0.188769895	4.44E-10	1.60E-08
chr20:1852496-1852815	0.137537557	4.70E-10	1.68E-08
chr11:7913705-7913868	0.10146467	4.72E-10	1.68E-08
chr6:163775171-163775345	0.121729638	5.19E-10	1.83E-08
chr10:135072735-135073128	2.845756243	5.73E-10	2.01E-08
chr16:3058105-3058264	2.826798945	6.05E-10	2.11E-08
chr3:149229459-149229794	0.10196376	7.28E-10	2.52E-08
chr3:145894951-145895144	0.212215559	7.90E-10	2.72E-08
chr4:89377235-89377564	0.3923174	8.10E-10	2.77E-08
chr5:173208911-173209406	0.120261202	8.95E-10	3.04E-08
chr8:144843026-144843252	3.962913259	1.06E-09	3.58E-08
chr4:124621616-124621886	0.18437048	1.13E-09	3.78E-08
chr4:184718887-184719489	0.308847852	1.13E-09	3.78E-08
chr10:8089680-8090146	3.362391603	1.23E-09	4.09E-08
chr7:141492164-141492415	0.522026727	1.32E-09	4.34E-08
chr7:128093966-128094206	0.057392868	1.32E-09	4.34E-08
chr10:6183239-6183522	0.047743428	1.34E-09	4.37E-08
chr16:68765918-68766309	0.299732419	1.49E-09	4.82E-08
chr21:47394721-47394936	0.249906479	1.50E-09	4.82E-08
chr15:96739448-96739540	0.177788826	1.54E-09	4.92E-08
chr20:1851849-1852180	0.156858745	1.64E-09	5.21E-08
chr21:45604332-45605113	0.454352269	2.04E-09	6.46E-08
chr11:122936469-122936659	0.38003086	2.09E-09	6.58E-08
chr16:14424623-14424858	0.490408512	2.16E-09	6.74E-08
chr18:13137958-13138425	0.412404351	2.37E-09	7.38E-08
chr8:6721983-6722491	0.141898272	2.44E-09	7.54E-08
chr21:45580983-45581335	0.52874348	2.52E-09	7.73E-08
chr5:54896440-54896979	0.151793663	2.55E-09	7.80E-08
chr4:86927841-86928538	0.447681673	2.68E-09	8.13E-08
chr16:11633611-11633797	0.335842599	2.69E-09	8.13E-08
chr9:140117588-140118357	1.64504448	2.73E-09	8.21E-08
chr18:20046739-20046926	0.134949058	3.00E-09	8.98E-08
chr1:9335683-9335930	0.521958676	3.07E-09	9.13E-08
chr21:28218728-28219247	0.367716164	3.17E-09	9.37E-08
chr7:128094514-128094949	0.126548485	3.75E-09	1.10E-07
chr20:29650599-29650997	0.527450576	4.19E-09	1.22E-07
chr6:158136804-158137189	0.104589688	4.31E-09	1.25E-07
chr5:964244-964536	4.389248978	4.48E-09	1.30E-07
chr9:120523356-120523735	0.350302061	4.58E-09	1.32E-07
chrX:2816950-2817136	0.198257694	4.62E-09	1.32E-07
chr10:3987998-3988450	0.28926343	4.66E-09	1.32E-07
chr10:8903701-8904023	11.74775891	4.66E-09	1.32E-07
chr5:180253184-180253441	0.425493619	4.85E-09	1.37E-07
chr8:97350195-97350563	0.415714408	4.96E-09	1.39E-07
chr16:14423689-14423899	0.511707233	5.05E-09	1.41E-07
chr7:95179507-95179842	0.128012245	5.31E-09	1.47E-07
chr20:1757792-1758093	0.249903302	5.36E-09	1.48E-07
chr6:119131601-119131904	0.540345464	5.81E-09	1.60E-07
chr6:140299062-140299512	0.289884415	5.86E-09	1.60E-07
chr11:364521-364678	0.21159487	6.01E-09	1.64E-07
chr7:5650367-5650762	0.402660447	6.07E-09	1.64E-07
chr7:95238124-95238400	0.169545864	6.53E-09	1.76E-07
chr16:14423320-14423633	0.494939654	6.58E-09	1.76E-07
chr20:37280609-37280856	0.289888319	6.75E-09	1.80E-07
chr9:114585349-114585680	0.439084361	6.89E-09	1.83E-07
chr11:316965-317318	0.53050122	6.99E-09	1.85E-07
chr10:4283808-4284356	0.432485708	7.06E-09	1.85E-07
chr6:7701709-7702095	0.221434571	7.36E-09	1.93E-07
chr3:187464496-187464942	0.381698174	7.65E-09	1.99E-07
chr8:6725876-6726138	0.188592146	7.97E-09	2.07E-07
chr17:7035868-7036444	0.165050694	8.01E-09	2.07E-07
chr7:55063666-55063958	0.155412638	8.32E-09	2.14E-07
chr1:24477754-24478041	0.41863706	8.74E-09	2.23E-07
chr20:61192605-61193059	4.253740366	8.81E-09	2.24E-07
chr20:62182537-62182817	3.536600489	9.04E-09	2.29E-07
chr10:6183553-6183785	0.156897314	9.51E-09	2.40E-07
chr20:39312030-39312408	0.264611067	9.89E-09	2.48E-07
chr7:11211603-11211773	0.505545086	1.06E-08	2.65E-07
chrX:124339178-124339332	0.154063679	1.08E-08	2.69E-07
chr4:80814219-80814317	0.258190753	1.16E-08	2.87E-07
chr3:145883195-145883481	0.346777686	1.19E-08	2.93E-07
chr21:47512247-47512670	0.468077178	1.23E-08	3.01E-07
chr1:12589452-12589763	0.258935319	1.26E-08	3.09E-07
chr10:3511181-3511689	0.188602087	1.44E-08	3.50E-07
chr10:43249715-43249807	0.332631265	1.47E-08	3.54E-07
chr8:119917519-119917835	2.817889502	1.65E-08	3.98E-07
chr20:29649919-29650288	0.534499584	1.72E-08	4.11E-07
chr7:120938122-120938485	0.349882102	1.74E-08	4.15E-07
chr10:30235740-30236524	0.105489991	1.81E-08	4.30E-07
chr15:100914283-100914527	0.241169437	1.90E-08	4.50E-07
chr11:129731747-129732130	0.64747075	2.06E-08	4.85E-07
chr6:112356617-112357007	0.099677347	2.07E-08	4.86E-07
chr3:195896732-195897063	0.451955643	2.09E-08	4.89E-07
chr12:52915277-52915747	0.282339369	2.11E-08	4.91E-07
chr4:88461613-88461921	21.77623465	2.13E-08	4.91E-07
chr7:129421490-129421976	3.358576695	2.13E-08	4.91E-07
chr10:17254796-17255338	0.478411236	2.56E-08	5.83E-07
chr5:6775804-6775859	3.403596839	2.57E-08	5.83E-07
chr10:6163143-6163430	0.149801219	2.58E-08	5.83E-07
chr6:157096939-157097165	0.530423876	2.58E-08	5.83E-07
chr1:2140151-2140337	0.40372086	2.58E-08	5.83E-07
chr20:56291330-56291601	4.392405739	2.63E-08	5.90E-07
chr11:129244480-129244782	0.297155955	2.80E-08	6.26E-07
chr6:151178746-151179109	0.391506258	2.87E-08	6.40E-07
chr11:14916687-14916856	0.083356742	2.99E-08	6.61E-07
chr7:129420694-129421120	3.112307589	2.99E-08	6.61E-07
chr10:6171883-6172155	0.116855045	3.18E-08	7.01E-07
chr7:64072607-64072919	8.406755674	3.32E-08	7.28E-07
chr11:107187292-107187599	0.705002662	3.50E-08	7.65E-07
chr9:4892272-4892588	0.563907767	3.59E-08	7.79E-07
chr3:141174545-141175038	2.942269994	3.59E-08	7.79E-07
chr10:6170843-6171197	0.082368986	3.90E-08	8.42E-07
chr11:33713598-33714029	0.40309958	3.99E-08	8.58E-07
chr4:185769532-185770063	0.194474263	4.12E-08	8.82E-07
chr1:14154959-14155163	6.833798946	4.46E-08	9.52E-07
chr22:30668970-30669757	0.533342757	4.86E-08	1.03E-06
chr4:189329642-189330099	0.231024758	5.34E-08	1.13E-06
chr17:10581804-10582199	0.701849588	5.52E-08	1.16E-06
chr10:3985648-3985956	0.073337503	5.59E-08	1.17E-06
chr12:52241099-52241559	0.130754159	5.64E-08	1.18E-06
chr21:48003626-48004009	0.441983164	5.76E-08	1.20E-06
chr7:35768741-35769300	0.514009075	5.78E-08	1.20E-06
chr1:233811305-233811449	3.382347362	5.80E-08	1.20E-06
chr4:88480312-88480555	20.29911586	5.92E-08	1.22E-06
chr20:23140057-23140426	0.199199891	5.96E-08	1.22E-06
chr4:190708353-190708364	0.063925127	6.04E-08	1.24E-06
chr16:79692252-79692530	0.266010896	6.19E-08	1.26E-06
chr6:170492436-170492647	0.298847355	6.21E-08	1.26E-06
chr3:146224364-146224853	0.69123427	6.29E-08	1.27E-06
chr12:42984702-42985091	4.785404271	6.36E-08	1.28E-06
chr20:5046140-5046913	0.495822035	6.41E-08	1.29E-06
chr1:236231203-236231484	0.328740617	6.63E-08	1.33E-06
chr22:48035641-48035928	8.752472934	6.87E-08	1.37E-06
chr18:2916275-2916499	0.484894017	7.42E-08	1.47E-06
chr10:22540192-22540343	0.537924663	7.67E-08	1.52E-06
chr4:88480669-88480961	6.897993344	7.72E-08	1.52E-06
chr6:170208297-170208700	0.498831992	7.74E-08	1.52E-06
chr22:50979060-50979802	1.83200986	7.81E-08	1.53E-06
chr3:134100770-134101008	0.109161398	8.03E-08	1.57E-06
chr10:5596279-5596669	6.842964453	8.58E-08	1.67E-06
chr2:235360536-235360912	0.148989127	9.05E-08	1.75E-06
chr20:25227226-25227454	0.414299035	9.18E-08	1.77E-06
chr5:1315765-1316275	3.811554805	9.37E-08	1.80E-06
chr11:2286743-2287171	9.934001446	9.97E-08	1.91E-06
chr10:6182474-6182743	0.071683909	1.00E-07	1.91E-06
chr18:56494810-56495111	28.88880885	1.01E-07	1.92E-06
chr16:2910811-2910988	2.937884816	1.04E-07	1.97E-06
chr22:18551113-18551402	0.177658482	1.04E-07	1.97E-06
chr22:42839941-42840323	3.490347257	1.05E-07	1.98E-06
chr20:1839579-1839847	0.259625731	1.06E-07	1.99E-06
chr14:23083172-23083436	0.439776564	1.08E-07	2.01E-06
chr7:135459124-135459310	5.555097706	1.08E-07	2.01E-06
chr21:46786853-46787266	2.256896141	1.23E-07	2.28E-06
chr2:232505425-232505799	0.160382834	1.26E-07	2.34E-06
chr16:1349375-1349723	3.824901621	1.27E-07	2.34E-06
chr11:33711808-33712191	0.443019221	1.28E-07	2.35E-06
chr11:113929515-113929738	0.154102141	1.33E-07	2.43E-06
chr16:53075249-53075847	0.240338027	1.35E-07	2.47E-06
chr5:172192263-172193766	0.394170425	1.38E-07	2.52E-06
chr7:148685182-148685277	1.990515649	1.49E-07	2.70E-06
chrX:73246732-73246982	0.477024825	1.56E-07	2.81E-06
chr11:122177708-122178168	0.191345991	1.57E-07	2.82E-06
chr17:6950063-6950446	0.516283386	1.78E-07	3.19E-06
chr4:88463051-88463413	15.86201951	1.79E-07	3.21E-06
chr15:93794547-93794631	0.130469458	1.93E-07	3.44E-06
chr22:30669806-30670065	0.482111276	1.96E-07	3.49E-06
chr5:172234136-172234644	0.183275243	2.05E-07	3.63E-06
chr2:235354817-235355457	0.375482634	2.13E-07	3.76E-06
chr8:16476986-16477261	6.314348411	2.16E-07	3.80E-06
chr8:144107532-144108153	0.456314243	2.28E-07	4.01E-06
chr1:1343359-1343768	1.735176609	2.40E-07	4.20E-06
chr9:112937115-112937268	0.213326058	2.41E-07	4.21E-06
chr9:139538309-139538610	0.489262332	2.46E-07	4.28E-06
chr14:95992355-95992583	0.329852543	2.59E-07	4.48E-06
chr22:30671576-30671914	0.485950684	2.61E-07	4.52E-06
chr1:27185457-27185720	0.295876347	2.69E-07	4.63E-06
chr18:55267032-55267261	0.535675826	2.75E-07	4.72E-06
chr9:109623887-109624414	0.540172116	2.76E-07	4.72E-06
chr12:27006268-27006662	0.279421794	2.91E-07	4.96E-06
chr1:16511251-16511623	0.38451746	2.91E-07	4.96E-06
chr10:5588881-5589169	12.98047797	2.97E-07	5.04E-06
chr9:132241150-132241608	3.780554903	3.03E-07	5.13E-06
chr6:126068034-126068254	0.373207183	3.05E-07	5.14E-06
chr16:69121214-69121414	0.576965849	3.10E-07	5.21E-06
chr7:45243795-45243955	0.458557658	3.64E-07	6.09E-06
chr10:35932153-35932694	0.297606764	3.65E-07	6.09E-06
chr10:5590010-5590295	4.943198955	3.77E-07	6.27E-06
chr7:135443440-135443607	0.223118609	3.79E-07	6.29E-06
chr1:227976197-227976490	0.350060264	3.96E-07	6.55E-06
chr4:185306912-185307204	0.663705384	4.00E-07	6.59E-06
chr6:104975114-104975455	0.129418185	4.07E-07	6.69E-06
chr16:88299166-88299470	4.074678883	4.11E-07	6.73E-06
chrX:1513605-1514177	0.55030928	4.14E-07	6.77E-06
chr17:4811647-4812042	0.394752645	4.38E-07	7.11E-06
chr6:134669516-134669878	0.268301886	4.40E-07	7.11E-06
chr16:11955170-11955449	1.81620384	4.41E-07	7.11E-06
chr16:66164410-66164809	30.77963142	4.41E-07	7.11E-06
chr11:9636768-9636900	0.396043641	4.80E-07	7.72E-06
chr20:61200879-61201219	5.380369401	4.89E-07	7.85E-06
chr21:28795435-28795716	0.260490189	5.03E-07	8.06E-06
chr7:22894313-22894860	0.450874794	5.30E-07	8.45E-06
chr21:30294712-30295026	0.699060601	5.39E-07	8.57E-06
chr12:46902978-46903383	32.6941496	5.51E-07	8.74E-06
chr8:2774023-2774367	0.23563396	5.65E-07	8.93E-06
chr4:37244545-37244895	0.086330064	6.11E-07	9.63E-06
chr7:119028-119765	0.315185799	6.33E-07	9.96E-06
chr10:3850308-3850795	8.491263207	6.99E-07	1.10E-05
chr1:27184739-27184972	0.282655332	7.13E-07	1.11E-05
chr10:35258130-35258295	0.060778818	8.01E-07	1.25E-05
chr10:9013579-9013972	47.60047702	8.23E-07	1.28E-05
chr22:42332206-42332544	2.61245527	8.32E-07	1.29E-05
chr8:144300737-144301128	0.138005375	8.33E-07	1.29E-05
chr9:120487715-120488143	0.367709964	8.68E-07	1.34E-05
chr5:180256099-180256444	0.6329053	8.86E-07	1.36E-05
chr4:100325584-100326020	0.133119882	8.93E-07	1.37E-05
chr2:237640726-237641053	0.280454282	8.94E-07	1.37E-05
chr15:99090927-99091248	0.435136868	8.99E-07	1.37E-05
chrX:124340013-124340052	0.337502751	9.08E-07	1.38E-05
chr1:9486434-9486788	0.62717842	9.16E-07	1.39E-05
chr6:125637722-125638122	0.196604649	9.22E-07	1.39E-05
chr7:86948267-86948659	3.854930387	9.81E-07	1.48E-05
chr11:1894620-1894889	0.24533764	9.91E-07	1.49E-05
chr21:26956680-26957339	0.543733035	1.01E-06	1.51E-05
chr1:229357329-229357959	0.245033083	1.06E-06	1.58E-05
chr5:172221140-172221536	0.228512049	1.07E-06	1.59E-05
chr18:10141033-10141178	0.104257997	1.14E-06	1.70E-05
chr6:159488301-159488791	0.289053103	1.15E-06	1.71E-05
chr3:138364761-138365360	0.564880475	1.17E-06	1.73E-05
chr10:5587810-5588190	8.909378212	1.20E-06	1.77E-05
chr20:25226687-25226893	0.464339756	1.21E-06	1.78E-05
chr16:30927821-30927845	1.924294452	1.22E-06	1.78E-05
chr7:1501148-1501314	0.210605968	1.22E-06	1.79E-05
chr20:1792448-1792844	0.178246546	1.23E-06	1.79E-05
chr3:195897824-195897955	0.486592393	1.23E-06	1.79E-05
chr2:242801923-242802843	0.403526713	1.27E-06	1.85E-05
chr22:30671325-30671531	0.443935229	1.29E-06	1.87E-05
chr22:42840483-42840921	4.183632185	1.30E-06	1.87E-05
chr21:44830426-44830842	4.359331879	1.32E-06	1.90E-05
chr14:95861859-95861987	0.169710314	1.36E-06	1.96E-05
chr18:20263132-20263811	0.401162061	1.37E-06	1.96E-05
chr5:172222248-172222806	0.286709427	1.43E-06	2.04E-05
chr2:235353626-235353934	0.341474873	1.43E-06	2.04E-05
chr18:74399023-74399139	9.695551941	1.48E-06	2.11E-05
chr10:5535635-5536039	6.962082516	1.50E-06	2.13E-05
chr12:51327584-51327783	0.439373419	1.54E-06	2.18E-05
chr17:6925152-6925653	0.187814517	1.57E-06	2.21E-05
chr16:51670868-51671078	10.21492432	1.59E-06	2.24E-05
chr20:58955192-58955446	0.358571606	1.60E-06	2.24E-05
chr10:135074691-135075148	2.424163243	1.75E-06	2.44E-05
chr8:144108350-144108468	0.485468958	1.78E-06	2.49E-05
chr1:9254228-9254398	0.524914824	1.79E-06	2.49E-05
chr14:42075138-42075996	0.402792591	1.89E-06	2.63E-05
chr22:42345357-42345934	4.093267944	2.04E-06	2.82E-05
chr6:169569548-169569688	2.843150038	2.07E-06	2.85E-05
chr8:144301806-144302247	0.200682129	2.14E-06	2.94E-05
chr7:142246179-142246560	4.810260574	2.17E-06	2.98E-05
chr22:39604307-39604633	0.441994231	2.21E-06	3.03E-05
chr22:51110202-51110387	0.339162058	2.26E-06	3.09E-05
chr16:74353064-74353398	0.589681752	2.36E-06	3.22E-05
chr22:46970983-46971382	4.057735811	2.36E-06	3.22E-05
chr10:3848037-3849536	5.828411098	2.50E-06	3.39E-05
chr22:42835802-42836124	4.656177089	2.52E-06	3.42E-05
chr16:66165018-66165370	21.58013112	2.63E-06	3.55E-05
chr4:124764674-124764868	0.246152325	2.64E-06	3.56E-05
chr15:99091450-99092159	0.469428984	2.77E-06	3.73E-05
chr10:5593718-5593999	7.286404813	2.97E-06	3.98E-05
chrX:1480354-1481325	0.514237323	2.97E-06	3.98E-05
chr1:234470466-234470691	0.281760227	3.04E-06	4.05E-05
chr10:8090455-8090655	2.691812502	3.05E-06	4.05E-05
chr9:14992180-14992514	0.493275662	3.31E-06	4.39E-05
chr21:17444153-17444342	0.259816019	3.32E-06	4.39E-05
chr14:105538797-105539160	2.355484569	3.39E-06	4.48E-05
chr21:44469974-44470172	3.971344792	3.41E-06	4.49E-05
chr16:66960903-66961306	0.348463851	3.44E-06	4.52E-05
chr1:233809261-233809638	2.940232096	3.44E-06	4.52E-05
chr8:144302525-144302816	0.140143729	3.46E-06	4.52E-05
chr5:177513304-177513421	3.537854558	3.46E-06	4.52E-05
chr6:147235645-147236230	5.916171615	3.51E-06	4.57E-05
chr6:12242168-12242480	0.434691607	3.56E-06	4.62E-05
chr8:144627865-144628210	1.962364989	3.57E-06	4.62E-05
chr14:105546439-105546836	0.556146051	3.57E-06	4.62E-05
chr20:46700957-46701130	6.957568597	3.74E-06	4.82E-05
chr8:144106773-144106936	0.454801835	3.93E-06	5.05E-05
chr3:151507223-151507685	0.244937145	4.15E-06	5.32E-05
chr3:197335598-197335855	0.64010105	4.18E-06	5.36E-05
chr6:147235088-147235549	4.591743838	4.48E-06	5.72E-05
chrX:79918713-79919107	3.123511578	4.55E-06	5.79E-05
chr17:10658369-10658680	0.312643749	4.61E-06	5.86E-05
chr16:4357393-4358110	1.729203862	4.62E-06	5.86E-05
chr8:30435369-30435466	0.400317609	4.71E-06	5.95E-05
chr16:3060017-3060177	3.153161538	4.79E-06	6.05E-05
chr4:185307496-185307655	0.691541879	4.91E-06	6.18E-05
chr8:22535910-22536200	0.295911162	4.92E-06	6.18E-05
chr5:177505252-177505654	15.07566942	4.94E-06	6.19E-05
chr16:88337697-88337985	3.91614533	5.12E-06	6.40E-05
chr14:91734470-91734656	4.198718028	5.25E-06	6.55E-05
