Chromosome	Start	End	Type	chr	med_start3kb	med_end3kb	enhancer	diff_CNV_intersect	q	G.score	average.amplitude	frequency
10	135068724	135092590	Del	10	135071993	135072118	chr10:135071993-135072118	125	11.710096	0.121197	0.410243	0.293519
10	135068724	135092590	Del	10	135072735	135073128	chr10:135072735-135073128	393	11.710096	0.121197	0.410243	0.293519
10	135068724	135092590	Del	10	135074691	135075148	chr10:135074691-135075148	457	11.710096	0.121197	0.410243	0.293519
10	135068724	135092590	Del	10	135092117	135092276	chr10:135092117-135092276	159	11.710096	0.121197	0.410243	0.293519
10	135068724	135092590	Del	10	135092436	135092746	chr10:135092436-135092746	154	11.710096	0.121197	0.410243	0.293519
10	135184421	135190262	Del	10	135190202	135190644	chr10:135190202-135190644	60	12.261707	0.123202	0.411864	0.294444
10	135190358	135206354	Del	10	135190202	135190644	chr10:135190202-135190644	286	12.944368	0.125607	0.411864	0.294444
10	135190358	135206354	Del	10	135191872	135192182	chr10:135191872-135192182	310	12.944368	0.125607	0.411864	0.294444
10	3253122	3295567	Amp	10	3283578	3283803	chr10:3283578-3283803	225	1.874333	0.168098	0.609111	0.273148
10	3350441	3438304	Amp	10	3438252	3438532	chr10:3438252-3438532	52	1.902735	0.168486	0.609776	0.273148
10	3438335	3504711	Amp	10	3438252	3438532	chr10:3438252-3438532	197	2.049942	0.170976	0.611648	0.274074
10	3438335	3504711	Amp	10	3441336	3441600	chr10:3441336-3441600	264	2.049942	0.170976	0.611648	0.274074
10	3438335	3504711	Amp	10	3497590	3497951	chr10:3497590-3497951	361	2.049942	0.170976	0.611648	0.274074
10	3506070	3648771	Amp	10	3507725	3507898	chr10:3507725-3507898	173	2.143957	0.17244	0.613772	0.274074
10	3506070	3648771	Amp	10	3509617	3509911	chr10:3509617-3509911	294	2.143957	0.17244	0.613772	0.274074
10	3506070	3648771	Amp	10	3510310	3510716	chr10:3510310-3510716	406	2.143957	0.17244	0.613772	0.274074
10	3506070	3648771	Amp	10	3511181	3511689	chr10:3511181-3511689	508	2.143957	0.17244	0.613772	0.274074
10	3506070	3648771	Amp	10	3524547	3524820	chr10:3524547-3524820	273	2.143957	0.17244	0.613772	0.274074
10	3506070	3648771	Amp	10	3526849	3527147	chr10:3526849-3527147	298	2.143957	0.17244	0.613772	0.274074
10	3506070	3648771	Amp	10	3528683	3528786	chr10:3528683-3528786	103	2.143957	0.17244	0.613772	0.274074
10	3506070	3648771	Amp	10	3542742	3543014	chr10:3542742-3543014	272	2.143957	0.17244	0.613772	0.274074
10	3506070	3648771	Amp	10	3598970	3599136	chr10:3598970-3599136	166	2.143957	0.17244	0.613772	0.274074
10	3796569	3834528	Amp	10	3797195	3797502	chr10:3797195-3797502	307	2.416861	0.176727	0.620309	0.274074
10	3796569	3834528	Amp	10	3800307	3800531	chr10:3800307-3800531	224	2.416861	0.176727	0.620309	0.274074
10	3796569	3834528	Amp	10	3808656	3808872	chr10:3808656-3808872	216	2.416861	0.176727	0.620309	0.274074
10	3796569	3834528	Amp	10	3811743	3812009	chr10:3811743-3812009	266	2.416861	0.176727	0.620309	0.274074
10	3835710	3856293	Amp	10	3845250	3845852	chr10:3845250-3845852	602	2.538945	0.17866	0.624994	0.274074
10	3835710	3856293	Amp	10	3846443	3847038	chr10:3846443-3847038	595	2.538945	0.17866	0.624994	0.274074
10	3835710	3856293	Amp	10	3848037	3849536	chr10:3848037-3849536	1499	2.538945	0.17866	0.624994	0.274074
10	3835710	3856293	Amp	10	3850308	3850795	chr10:3850308-3850795	487	2.538945	0.17866	0.624994	0.274074
10	3835710	3856293	Amp	10	3852273	3852886	chr10:3852273-3852886	613	2.538945	0.17866	0.624994	0.274074
10	3835710	3856293	Amp	10	3853393	3854169	chr10:3853393-3854169	776	2.538945	0.17866	0.624994	0.274074
10	3867784	3943080	Amp	10	3929991	3930887	chr10:3929991-3930887	896	2.664004	0.180513	0.62973	0.273148
10	3949293	3983483	Amp	10	3975714	3975890	chr10:3975714-3975890	176	2.401623	0.176556	0.623962	0.273148
10	3949293	3983483	Amp	10	3983198	3983475	chr10:3983198-3983475	277	2.401623	0.176556	0.623962	0.273148
10	3983552	4026125	Amp	10	3984866	3985563	chr10:3984866-3985563	697	2.311273	0.175117	0.621867	0.273148
10	3983552	4026125	Amp	10	3985648	3985956	chr10:3985648-3985956	308	2.311273	0.175117	0.621867	0.273148
10	3983552	4026125	Amp	10	3987998	3988450	chr10:3987998-3988450	452	2.311273	0.175117	0.621867	0.273148
10	3983552	4026125	Amp	10	3991165	3991394	chr10:3991165-3991394	229	2.311273	0.175117	0.621867	0.273148
10	4149694	4202297	Amp	10	4173688	4174411	chr10:4173688-4174411	723	2.798875	0.182515	0.630564	0.274074
10	4202518	4307011	Amp	10	4283808	4284356	chr10:4283808-4284356	548	2.99283	0.185229	0.634502	0.274074
10	4202518	4307011	Amp	10	4289203	4289519	chr10:4289203-4289519	316	2.99283	0.185229	0.634502	0.274074
10	4311766	4514597	Amp	10	4394953	4395258	chr10:4394953-4395258	305	2.985074	0.185173	0.634592	0.274074
10	4658582	4728005	Amp	10	4713647	4713873	chr10:4713647-4713873	226	2.815044	0.182711	0.627437	0.275926
10	4891112	4920636	Amp	10	4891874	4892173	chr10:4891874-4892173	299	3.45392	0.191658	0.640691	0.275926
10	4891112	4920636	Amp	10	4895704	4895738	chr10:4895704-4895738	34	3.45392	0.191658	0.640691	0.275926
10	4891112	4920636	Amp	10	4910442	4910783	chr10:4910442-4910783	341	3.45392	0.191658	0.640691	0.275926
10	5498248	5505486	Amp	10	5504427	5504665	chr10:5504427-5504665	238	3.731479	0.195389	0.63665	0.280556
10	5517651	5539626	Amp	10	5520306	5520476	chr10:5520306-5520476	170	3.932541	0.198084	0.640464	0.280556
10	5517651	5539626	Amp	10	5521591	5521814	chr10:5521591-5521814	223	3.932541	0.198084	0.640464	0.280556
10	5517651	5539626	Amp	10	5528772	5529321	chr10:5528772-5529321	549	3.932541	0.198084	0.640464	0.280556
10	5517651	5539626	Amp	10	5530637	5531333	chr10:5530637-5531333	696	3.932541	0.198084	0.640464	0.280556
10	5517651	5539626	Amp	10	5535635	5536039	chr10:5535635-5536039	404	3.932541	0.198084	0.640464	0.280556
10	5542109	5554141	Amp	10	5553514	5553674	chr10:5553514-5553674	160	3.775211	0.196004	0.637516	0.280556
10	5554663	5578172	Amp	10	5576341	5576485	chr10:5576341-5576485	144	3.879293	0.197386	0.639578	0.280556
10	5554663	5578172	Amp	10	5577499	5577735	chr10:5577499-5577735	236	3.879293	0.197386	0.639578	0.280556
10	5580628	5624369	Amp	10	5587810	5588190	chr10:5587810-5588190	380	3.941066	0.198134	0.642737	0.27963
10	5580628	5624369	Amp	10	5588881	5589169	chr10:5588881-5589169	288	3.941066	0.198134	0.642737	0.27963
10	5580628	5624369	Amp	10	5590010	5590295	chr10:5590010-5590295	285	3.941066	0.198134	0.642737	0.27963
10	5580628	5624369	Amp	10	5590507	5590769	chr10:5590507-5590769	262	3.941066	0.198134	0.642737	0.27963
10	5580628	5624369	Amp	10	5590959	5591270	chr10:5590959-5591270	311	3.941066	0.198134	0.642737	0.27963
10	5580628	5624369	Amp	10	5593718	5593999	chr10:5593718-5593999	281	3.941066	0.198134	0.642737	0.27963
10	5580628	5624369	Amp	10	5596279	5596669	chr10:5596279-5596669	390	3.941066	0.198134	0.642737	0.27963
10	5580628	5624369	Amp	10	5606066	5606314	chr10:5606066-5606314	248	3.941066	0.198134	0.642737	0.27963
10	5580628	5624369	Amp	10	5606609	5606845	chr10:5606609-5606845	236	3.941066	0.198134	0.642737	0.27963
10	5868320	5996375	Amp	10	5894245	5894675	chr10:5894245-5894675	430	3.835925	0.196822	0.644484	0.277778
10	5868320	5996375	Amp	10	5986377	5986825	chr10:5986377-5986825	448	3.835925	0.196822	0.644484	0.277778
10	6042472	6052208	Amp	10	6051095	6051553	chr10:6051095-6051553	458	3.835925	0.196778	0.644368	0.277778
10	6160982	6198274	Amp	10	6162113	6162335	chr10:6162113-6162335	222	3.300168	0.189605	0.633949	0.277778
10	6160982	6198274	Amp	10	6163143	6163430	chr10:6163143-6163430	287	3.300168	0.189605	0.633949	0.277778
10	6160982	6198274	Amp	10	6165582	6165745	chr10:6165582-6165745	163	3.300168	0.189605	0.633949	0.277778
10	6160982	6198274	Amp	10	6170843	6171197	chr10:6170843-6171197	354	3.300168	0.189605	0.633949	0.277778
10	6160982	6198274	Amp	10	6171883	6172155	chr10:6171883-6172155	272	3.300168	0.189605	0.633949	0.277778
10	6160982	6198274	Amp	10	6182474	6182743	chr10:6182474-6182743	269	3.300168	0.189605	0.633949	0.277778
10	6160982	6198274	Amp	10	6183239	6183522	chr10:6183239-6183522	283	3.300168	0.189605	0.633949	0.277778
10	6160982	6198274	Amp	10	6183553	6183785	chr10:6183553-6183785	232	3.300168	0.189605	0.633949	0.277778
10	6201857	6314822	Amp	10	6281305	6281494	chr10:6281305-6281494	189	3.284024	0.189362	0.633601	0.277778
10	6201857	6314822	Amp	10	6296306	6296528	chr10:6296306-6296528	222	3.284024	0.189362	0.633601	0.277778
10	6201857	6314822	Amp	10	6298563	6298686	chr10:6298563-6298686	123	3.284024	0.189362	0.633601	0.277778
10	6201857	6314822	Amp	10	6309207	6309569	chr10:6309207-6309569	362	3.284024	0.189362	0.633601	0.277778
10	6315211	6329926	Amp	10	6316063	6316267	chr10:6316063-6316267	204	3.158366	0.1876	0.631088	0.277778
10	6315211	6329926	Amp	10	6321537	6321781	chr10:6321537-6321781	244	3.158366	0.1876	0.631088	0.277778
10	6315211	6329926	Amp	10	6322373	6322594	chr10:6322373-6322594	221	3.158366	0.1876	0.631088	0.277778
10	6333145	6358910	Amp	10	6333794	6333936	chr10:6333794-6333936	142	3.292311	0.189458	0.635802	0.276852
10	6333145	6358910	Amp	10	6339022	6339139	chr10:6339022-6339139	117	3.292311	0.189458	0.635802	0.276852
10	6333145	6358910	Amp	10	6340083	6340359	chr10:6340083-6340359	276	3.292311	0.189458	0.635802	0.276852
10	6333145	6358910	Amp	10	6341993	6342400	chr10:6341993-6342400	407	3.292311	0.189458	0.635802	0.276852
10	6333145	6358910	Amp	10	6353709	6354129	chr10:6353709-6354129	420	3.292311	0.189458	0.635802	0.276852
10	6367728	6393483	Amp	10	6389510	6390540	chr10:6389510-6390540	1030	3.267207	0.18907	0.634994	0.276852
10	6424490	6487774	Amp	10	6428287	6428757	chr10:6428287-6428757	470	2.289075	0.174772	0.624344	0.276852
10	6424490	6487774	Amp	10	6438616	6439009	chr10:6438616-6439009	393	2.289075	0.174772	0.624344	0.276852
10	6424490	6487774	Amp	10	6440433	6440653	chr10:6440433-6440653	220	2.289075	0.174772	0.624344	0.276852
10	6424490	6487774	Amp	10	6443408	6443712	chr10:6443408-6443712	304	2.289075	0.174772	0.624344	0.276852
10	6424490	6487774	Amp	10	6449763	6450038	chr10:6449763-6450038	275	2.289075	0.174772	0.624344	0.276852
10	733436	742396	Amp	10	736516	736676	chr10:736516-736676	160	1.895627	0.16839	0.604485	0.269444
10	7523002	7599754	Amp	10	7583205	7583490	chr10:7583205-7583490	285	2.462416	0.177419	0.628143	0.276852
10	8058401	8101927	Amp	10	8077253	8077826	chr10:8077253-8077826	573	2.37873	0.176215	0.633634	0.275926
10	8058401	8101927	Amp	10	8088862	8088888	chr10:8088862-8088888	26	2.37873	0.176215	0.633634	0.275926
10	8058401	8101927	Amp	10	8089680	8090146	chr10:8089680-8090146	466	2.37873	0.176215	0.633634	0.275926
10	8058401	8101927	Amp	10	8090455	8090655	chr10:8090455-8090655	200	2.37873	0.176215	0.633634	0.275926
10	8142012	8202956	Amp	10	8179321	8179625	chr10:8179321-8179625	304	2.431776	0.177038	0.634748	0.275926
10	8728419	8802308	Amp	10	8794296	8794681	chr10:8794296-8794681	385	2.209498	0.173455	0.631845	0.275
10	8900016	8907874	Amp	10	8903701	8904023	chr10:8903701-8904023	322	2.424167	0.176926	0.634181	0.276852
10	8900016	8907874	Amp	10	8907472	8907746	chr10:8907472-8907746	274	2.424167	0.176926	0.634181	0.276852
10	9000841	9020234	Amp	10	9013579	9013972	chr10:9013579-9013972	393	3.644152	0.194215	0.646538	0.282407
10	9000841	9020234	Amp	10	9017648	9017767	chr10:9017648-9017767	119	3.644152	0.194215	0.646538	0.282407
10	9041834	9050093	Amp	10	9042425	9042760	chr10:9042425-9042760	335	4.064701	0.19983	0.64781	0.285185
10	9056432	9083820	Amp	10	9057533	9057704	chr10:9057533-9057704	171	4.081746	0.200102	0.65075	0.283333
10	9056432	9083820	Amp	10	9058876	9059174	chr10:9058876-9059174	298	4.081746	0.200102	0.65075	0.283333
10	9056432	9083820	Amp	10	9076423	9076646	chr10:9076423-9076646	223	4.081746	0.200102	0.65075	0.283333
10	9112373	9131250	Amp	10	9115735	9116358	chr10:9115735-9116358	623	4.108827	0.200389	0.649304	0.284259
10	9139264	9140945	Amp	10	9139521	9139818	chr10:9139521-9139818	297	4.117867	0.200501	0.651546	0.283333
10	9229226	9240276	Amp	10	9228708	9229315	chr10:9228708-9229315	89	2.943901	0.18456	0.636975	0.27963
10	975133	1032171	Amp	10	990446	990769	chr10:990446-990769	323	2.042632	0.170805	0.611245	0.269444
1	10090725	10259900	Del	1	10245595	10245867	chr1:10245595-10245867	272	34.148361	0.18786	0.433815	0.403704
1	10262545	10284236	Del	1	10269964	10270260	chr1:10269964-10270260	296	34.570474	0.189063	0.435443	0.402778
1	10447792	10450865	Del	1	10447707	10448369	chr1:10447707-10448369	577	35.247111	0.190867	0.436612	0.40463
1	10694125	10858746	Del	1	10695291	10695734	chr1:10695291-10695734	443	36.4988	0.194075	0.435548	0.410185
11	101005686	101389872	Del	11	101312461	101312692	chr11:101312461-101312692	231	26.406973	0.167109	0.520368	0.434259
11	101984747	102263273	Del	11	102216514	102216961	chr11:102216514-102216961	447	33.045399	0.184953	0.518944	0.448148
11	102342475	102444145	Del	11	102425840	102426191	chr11:102425840-102426191	351	34.291025	0.188161	0.521223	0.452778
11	102719730	102807731	Del	11	102753440	102753618	chr11:102753440-102753618	178	35.273699	0.190967	0.518292	0.458333
11	10323478	10323478	Del	11	10323282	10323617	chr11:10323282-10323617	0	6.032375	0.097739	0.424172	0.268519
11	103464700	103774976	Del	11	103571320	103571700	chr11:103571320-103571700	380	38.952189	0.20009	0.521821	0.466667
11	103464700	103774976	Del	11	103643756	103644121	chr11:103643756-103644121	365	38.952189	0.20009	0.521821	0.466667
11	1040891	1150437	Del	11	1043654	1043838	chr11:1043654-1043838	184	14.106632	0.129718	0.435168	0.284259
11	1040891	1150437	Del	11	1053255	1053594	chr11:1053255-1053594	339	14.106632	0.129718	0.435168	0.284259
11	1040891	1150437	Del	11	1073369	1073545	chr11:1073369-1073545	176	14.106632	0.129718	0.435168	0.284259
11	104169356	104812199	Del	11	104576314	104576795	chr11:104576314-104576795	481	41.659992	0.206706	0.523111	0.469444
11	106894521	107331333	Del	11	107187292	107187599	chr11:107187292-107187599	307	45.228792	0.215127	0.526956	0.481481
11	10833255	11290071	Del	11	10935638	10935889	chr11:10935638-10935889	251	5.883346	0.097038	0.421919	0.265741
11	10833255	11290071	Del	11	10938352	10938640	chr11:10938352-10938640	288	5.883346	0.097038	0.421919	0.265741
11	10833255	11290071	Del	11	10940363	10940655	chr11:10940363-10940655	292	5.883346	0.097038	0.421919	0.265741
11	10833255	11290071	Del	11	10948299	10948671	chr11:10948299-10948671	372	5.883346	0.097038	0.421919	0.265741
11	10833255	11290071	Del	11	10951981	10952433	chr11:10951981-10952433	452	5.883346	0.097038	0.421919	0.265741
11	109134982	109959638	Del	11	109843330	109843440	chr11:109843330-109843440	110	51.433094	0.229963	0.528369	0.487963
11	109134982	109959638	Del	11	109958650	109959379	chr11:109958650-109959379	729	51.433094	0.229963	0.528369	0.487963
11	110174030	110446226	Del	11	110367857	110368312	chr11:110367857-110368312	455	51.599163	0.230464	0.527633	0.493519
1	11109053	11128075	Del	1	11122928	11123178	chr1:11122928-11123178	250	34.360063	0.188361	0.430714	0.410185
11	111182524	111221572	Del	11	111195136	111195460	chr11:111195136-111195460	324	53.132951	0.234073	0.526389	0.499074
11	111182524	111221572	Del	11	111195850	111196227	chr11:111195850-111196227	377	53.132951	0.234073	0.526389	0.499074
11	112142799	112826709	Del	11	112566717	112567065	chr11:112566717-112567065	348	55.435263	0.239586	0.527714	0.503704
11	113357815	113603042	Del	11	113458188	113458759	chr11:113458188-113458759	571	57.049839	0.243897	0.526397	0.510185
11	113357815	113603042	Del	11	113552333	113552865	chr11:113552333-113552865	532	57.049839	0.243897	0.526397	0.510185
11	113928861	114124248	Del	11	113929515	113929738	chr11:113929515-113929738	223	53.339753	0.234574	0.527063	0.512963
11	114125260	114184192	Del	11	114127214	114127717	chr11:114127214-114127717	503	56.701635	0.242794	0.527069	0.512963
11	114184389	114271207	Del	11	114192650	114192891	chr11:114192650-114192891	241	57.062352	0.244599	0.527069	0.512963
11	114184389	114271207	Del	11	114224881	114225192	chr11:114224881-114225192	311	57.062352	0.244599	0.527069	0.512963
11	114287192	114392110	Del	11	114288977	114289308	chr11:114288977-114289308	331	57.062352	0.244498	0.526985	0.512037
11	114287192	114392110	Del	11	114309073	114309125	chr11:114309073-114309125	52	57.062352	0.244498	0.526985	0.512037
11	114287192	114392110	Del	11	114344821	114345220	chr11:114344821-114345220	399	57.062352	0.244498	0.526985	0.512037
11	1150711	1230811	Del	11	1228821	1229012	chr11:1228821-1229012	191	13.778371	0.128515	0.437746	0.281481
11	116191642	116639401	Del	11	116458442	116458607	chr11:116458442-116458607	165	56.84129	0.243195	0.526012	0.50463
11	117803998	118001607	Del	11	117844226	117844440	chr11:117844226-117844440	214	53.339753	0.234574	0.522986	0.502778
11	117803998	118001607	Del	11	117845403	117845532	chr11:117845403-117845532	129	53.339753	0.234574	0.522986	0.502778
11	117803998	118001607	Del	11	117848150	117848364	chr11:117848150-117848364	214	53.339753	0.234574	0.522986	0.502778
11	117803998	118001607	Del	11	117849885	117850293	chr11:117849885-117850293	408	53.339753	0.234574	0.522986	0.502778
11	117803998	118001607	Del	11	117850390	117851092	chr11:117850390-117851092	702	53.339753	0.234574	0.522986	0.502778
11	117803998	118001607	Del	11	117852129	117852316	chr11:117852129-117852316	187	53.339753	0.234574	0.522986	0.502778
11	117803998	118001607	Del	11	117853654	117853757	chr11:117853654-117853757	103	53.339753	0.234574	0.522986	0.502778
11	117803998	118001607	Del	11	117873419	117873908	chr11:117873419-117873908	489	53.339753	0.234574	0.522986	0.502778
11	117803998	118001607	Del	11	117873994	117874371	chr11:117873994-117874371	377	53.339753	0.234574	0.522986	0.502778
11	117803998	118001607	Del	11	117878914	117879095	chr11:117878914-117879095	181	53.339753	0.234574	0.522986	0.502778
11	117803998	118001607	Del	11	117879327	117879545	chr11:117879327-117879545	218	53.339753	0.234574	0.522986	0.502778
11	117803998	118001607	Del	11	117881559	117881948	chr11:117881559-117881948	389	53.339753	0.234574	0.522986	0.502778
11	117803998	118001607	Del	11	117882756	117883280	chr11:117882756-117883280	524	53.339753	0.234574	0.522986	0.502778
11	118617920	118749464	Del	11	118663387	118663780	chr11:118663387-118663780	393	48.206798	0.222043	0.518318	0.492593
11	118617920	118749464	Del	11	118740767	118741727	chr11:118740767-118741727	960	48.206798	0.222043	0.518318	0.492593
11	118617920	118749464	Del	11	118743137	118743420	chr11:118743137-118743420	283	48.206798	0.222043	0.518318	0.492593
11	118617920	118749464	Del	11	118747459	118747842	chr11:118747459-118747842	383	48.206798	0.222043	0.518318	0.492593
11	118617920	118749464	Del	11	118748993	118749146	chr11:118748993-118749146	153	48.206798	0.222043	0.518318	0.492593
11	119253986	119491786	Del	11	119341099	119341491	chr11:119341099-119341491	392	49.248077	0.22475	0.51956	0.5
11	119253986	119491786	Del	11	119395840	119396223	chr11:119395840-119396223	383	49.248077	0.22475	0.51956	0.5
11	119253986	119491786	Del	11	119454963	119455433	chr11:119454963-119455433	470	49.248077	0.22475	0.51956	0.5
11	119492338	119977625	Del	11	119612950	119613345	chr11:119612950-119613345	395	49.197397	0.22455	0.519857	0.5
11	119492338	119977625	Del	11	119615995	119616274	chr11:119615995-119616274	279	49.197397	0.22455	0.519857	0.5
11	11981740	12110677	Del	11	12109558	12109847	chr11:12109558-12109847	289	4.394685	0.089419	0.419973	0.258333
11	120057180	120105039	Del	11	120078906	120079218	chr11:120078906-120079218	312	49.122049	0.224349	0.522357	0.5
11	120057180	120105039	Del	11	120079363	120079802	chr11:120079363-120079802	439	49.122049	0.224349	0.522357	0.5
11	120206662	120373888	Del	11	120363124	120363469	chr11:120363124-120363469	345	48.494113	0.222845	0.522438	0.5
11	120962511	121320164	Del	11	121289334	121289764	chr11:121289334-121289764	430	47.829228	0.221242	0.525501	0.491667
11	120962511	121320164	Del	11	121292319	121292487	chr11:121292319-121292487	168	47.829228	0.221242	0.525501	0.491667
11	120962511	121320164	Del	11	121293459	121293790	chr11:121293459-121293790	331	47.829228	0.221242	0.525501	0.491667
11	120962511	121320164	Del	11	121307019	121307215	chr11:121307019-121307215	196	47.829228	0.221242	0.525501	0.491667
11	120962511	121320164	Del	11	121314934	121315243	chr11:121314934-121315243	309	47.829228	0.221242	0.525501	0.491667
11	12111092	12286129	Del	11	12111660	12111980	chr11:12111660-12111980	320	4.062818	0.087614	0.41841	0.258333
11	121509408	121983802	Del	11	121526040	121526695	chr11:121526040-121526695	655	46.230691	0.217532	0.525752	0.490741
11	121509408	121983802	Del	11	121906863	121907080	chr11:121906863-121907080	217	46.230691	0.217532	0.525752	0.490741
11	121509408	121983802	Del	11	121915938	121916278	chr11:121915938-121916278	340	46.230691	0.217532	0.525752	0.490741
11	121989707	122319516	Del	11	122052220	122052515	chr11:122052220-122052515	295	47.008233	0.219337	0.525463	0.487037
11	121989707	122319516	Del	11	122059856	122060218	chr11:122059856-122060218	362	47.008233	0.219337	0.525463	0.487037
11	121989707	122319516	Del	11	122177708	122178168	chr11:122177708-122178168	460	47.008233	0.219337	0.525463	0.487037
11	122856281	122940032	Del	11	122936469	122936659	chr11:122936469-122936659	190	48.802673	0.223647	0.529862	0.487963
11	1231166	1285979	Del	11	1241085	1241212	chr11:1241085-1241212	127	13.694989	0.128214	0.437746	0.281481
11	1231166	1285979	Del	11	1285805	1285940	chr11:1285805-1285940	135	13.694989	0.128214	0.437746	0.281481
11	123250165	123395620	Del	11	123293400	123293723	chr11:123293400-123293723	323	48.847699	0.223748	0.525111	0.492593
11	123250165	123395620	Del	11	123327975	123328380	chr11:123327975-123328380	405	48.847699	0.223748	0.525111	0.492593
11	123850803	123984748	Del	11	123948297	123948692	chr11:123948297-123948692	395	50.09026	0.226755	0.526036	0.492593
11	123850803	123984748	Del	11	123949311	123949466	chr11:123949311-123949466	155	50.09026	0.226755	0.526036	0.492593
11	123850803	123984748	Del	11	123950495	123950749	chr11:123950495-123950749	254	50.09026	0.226755	0.526036	0.492593
11	123850803	123984748	Del	11	123951200	123951810	chr11:123951200-123951810	610	50.09026	0.226755	0.526036	0.492593
11	12552790	12924372	Del	11	12561282	12561501	chr11:12561282-12561501	219	3.835406	0.086311	0.414328	0.259259
11	125654842	125694062	Del	11	125665065	125665247	chr11:125665065-125665247	182	50.796364	0.228459	0.529445	0.488889
11	125654842	125694062	Del	11	125670081	125670467	chr11:125670081-125670467	386	50.796364	0.228459	0.529445	0.488889
11	125936836	126087331	Del	11	125974412	125974829	chr11:125974412-125974829	417	50.806484	0.228459	0.530744	0.486111
11	125936836	126087331	Del	11	125976647	125976803	chr11:125976647-125976803	156	50.806484	0.228459	0.530744	0.486111
11	125936836	126087331	Del	11	125992920	125993185	chr11:125992920-125993185	265	50.806484	0.228459	0.530744	0.486111
11	125936836	126087331	Del	11	125997963	125998111	chr11:125997963-125998111	148	50.806484	0.228459	0.530744	0.486111
11	125936836	126087331	Del	11	126001132	126001515	chr11:126001132-126001515	383	50.806484	0.228459	0.530744	0.486111
11	126876166	128326463	Del	11	128161831	128162042	chr11:128161831-128162042	211	49.137669	0.224449	0.526192	0.484259
11	126876166	128326463	Del	11	128172320	128172993	chr11:128172320-128172993	673	49.137669	0.224449	0.526192	0.484259
11	126876166	128326463	Del	11	128174712	128175165	chr11:128174712-128175165	453	49.137669	0.224449	0.526192	0.484259
11	126876166	128326463	Del	11	128323342	128323695	chr11:128323342-128323695	353	49.137669	0.224449	0.526192	0.484259
11	128328038	128551689	Del	11	128480883	128481272	chr11:128480883-128481272	389	44.266821	0.212921	0.525063	0.480556
11	128328038	128551689	Del	11	128489785	128490148	chr11:128489785-128490148	363	44.266821	0.212921	0.525063	0.480556
11	128683914	128758616	Del	11	128757408	128757514	chr11:128757408-128757514	106	44.890858	0.214425	0.525861	0.478704
11	128832776	129150067	Del	11	129149922	129150564	chr11:129149922-129150564	145	42.934887	0.209814	0.52541	0.475926
11	129150118	129322212	Del	11	129149922	129150564	chr11:129149922-129150564	446	44.260276	0.212921	0.526632	0.472222
