Disease	Resource	Chr	Strand	Coordinate	Region	ProbeID	GeneID	GeneName	GeneType	TranscriptID	TranscriptName	TranscriptType	Methylation Status	Pvalue	FDR	Methylation Difference	Meancase	Meancontrol
Breast invasive carcinoma	TCGA	chr1	-	3598426	intron	cg09187007	ENSG00000162591.14	MEGF6	protein_coding	ENST00000356575.7	MEGF6-007	protein_coding	hypermethylation	2.14e-43	7.3e-42	0.343574895283776	0.434147959340158	0.0905730640563825
Breast invasive carcinoma	TCGA	chr1	-	3587561	intron	cg12715285	ENSG00000162591.14	MEGF6	protein_coding	ENST00000356575.7	MEGF6-007	protein_coding	hypomethylation	1.66e-38	4.25e-37	-0.355780214681435	0.570664092972904	0.926444307654339
Breast invasive carcinoma	TCGA	chr1	-	3650739	TSS1500	cg04021697	ENSG00000116213.14	WRAP73	protein_coding	ENST00000419924.2	WRAP73-006	protein_coding	hypermethylation	4.96e-62	4.89e-60	0.387346749043882	0.626716391581408	0.239369642537526
Breast invasive carcinoma	TCGA	chr1	+	3684315	intron	cg17471939	ENSG00000078900.13	TP73	protein_coding	ENST00000604479.4	TP73-013	protein_coding	hypermethylation	4.18e-46	1.66e-44	0.31046023653216	0.626336155634352	0.315875919102192
Breast invasive carcinoma	TCGA	chr1	+	3771693	TSS1500	cg02214783	ENSG00000235169.6	SMIM1	protein_coding	ENST00000561886.1	SMIM1-003	protein_coding	hypermethylation	4.21e-73	7.89e-71	0.338490550732882	0.770655180795905	0.432164630063023
Breast invasive carcinoma	TCGA	chr1	+	4653973	TSS1500	cg13495205	ENSG00000196581.9	AJAP1	protein_coding	ENST00000378191.4	AJAP1-001	protein_coding	hypermethylation	5.98e-33	1.11e-31	0.335152400989758	0.587777878389131	0.252625477399373
Breast invasive carcinoma	TCGA	chr1	+	4654111	TSS1500	cg15484532	ENSG00000196581.9	AJAP1	protein_coding	ENST00000378191.4	AJAP1-001	protein_coding	hypermethylation	4.81e-62	4.74e-60	0.312941051194995	0.445307634406533	0.132366583211538
Breast invasive carcinoma	TCGA	chr1	+	4654612	TSS1500	cg12475759	ENSG00000196581.9	AJAP1	protein_coding	ENST00000378191.4	AJAP1-001	protein_coding	hypermethylation	2.29e-41	6.96e-40	0.322307776202367	0.371232613666195	0.0489248374638278
Breast invasive carcinoma	TCGA	chr1	+	4676039	intron	cg13056990	ENSG00000196581.9	AJAP1	protein_coding	ENST00000378191.4	AJAP1-001	protein_coding	hypomethylation	3.13e-25	3.63e-24	-0.309388439594532	0.6038782625522	0.913266702146732
Breast invasive carcinoma	TCGA	chr1	+	4676127	intron	cg24694502	ENSG00000196581.9	AJAP1	protein_coding	ENST00000378191.4	AJAP1-001	protein_coding	hypomethylation	2.13e-36	4.85e-35	-0.304013703040586	0.586620660717387	0.890634363757972
Breast invasive carcinoma	TCGA	chr1	+	4684736	intron	cg26231761	ENSG00000196581.9	AJAP1	protein_coding	ENST00000378191.4	AJAP1-001	protein_coding	hypomethylation	2.32e-73	4.39e-71	-0.350588091476145	0.46594336263136	0.816531454107505
Breast invasive carcinoma	TCGA	chr1	+	4772372	genebody	cg06966242	ENSG00000196581.9	AJAP1	protein_coding	ENST00000378191.4	AJAP1-001	protein_coding	hypomethylation	4.09e-47	1.72e-45	-0.362310141880151	0.581499557535874	0.943809699416025
Breast invasive carcinoma	TCGA	chr1	+	4788931	3'UTR	cg15088574	ENSG00000196581.9	AJAP1	protein_coding	ENST00000378191.4	AJAP1-001	protein_coding	hypomethylation	1.42e-91	8.59e-89	-0.334504835360297	0.36749555896998	0.702000394330277
Breast invasive carcinoma	TCGA	chr1	+	4789003	3'UTR	cg19821682	ENSG00000196581.9	AJAP1	protein_coding	ENST00000378191.4	AJAP1-001	protein_coding	hypomethylation	1.01e-63	1.08e-61	-0.309301226114544	0.432908854782419	0.742210080896964
Breast invasive carcinoma	TCGA	chr1	+	6088989	intron	cg24545495	ENSG00000069424.13	KCNAB2	protein_coding	ENST00000458166.5	KCNAB2-017	protein_coding	hypomethylation	3.68e-47	1.55e-45	-0.351727805947155	0.564456517881836	0.916184323828991
Breast invasive carcinoma	TCGA	chr1	-	6330535	intron	cg10976772	ENSG00000097021.18	ACOT7	protein_coding	ENST00000473466.2	ACOT7-008	protein_coding	hypermethylation	8.22e-69	1.18e-66	0.334366543774276	0.709603292668459	0.375236748894183
Breast invasive carcinoma	TCGA	chr1	-	6330470	intron	cg25706257	ENSG00000097021.18	ACOT7	protein_coding	ENST00000473466.2	ACOT7-008	protein_coding	hypermethylation	6.07e-70	9.48e-68	0.30501400581359	0.786242953206527	0.481228947392937
Breast invasive carcinoma	TCGA	chr1	+	7070001	intron	cg21144493	ENSG00000171735.17	CAMTA1	protein_coding	ENST00000303635.10	CAMTA1-001	protein_coding	hypermethylation	1.44e-59	1.23e-57	0.309160335967842	0.595728963356372	0.28656862738853
Breast invasive carcinoma	TCGA	chr1	+	7063255	intron	cg24579970	ENSG00000171735.17	CAMTA1	protein_coding	ENST00000303635.10	CAMTA1-001	protein_coding	hypomethylation	2.31e-56	1.63e-54	-0.348867438240488	0.479338671491818	0.828206109732306
Breast invasive carcinoma	TCGA	chr1	+	7211293	intron	cg03580787	ENSG00000171735.17	CAMTA1	protein_coding	ENST00000303635.10	CAMTA1-001	protein_coding	hypomethylation	4.47e-67	5.83e-65	-0.326295875297551	0.474693059619044	0.800988934916595
Breast invasive carcinoma	TCGA	chr1	-	8712925	intron	cg18269493	ENSG00000142599.16	RERE	protein_coding	ENST00000400908.5	RERE-014	protein_coding	hypomethylation	1.81e-193	1.84e-188	-0.337808402092932	0.138200008024239	0.476008410117171
Breast invasive carcinoma	TCGA	chr1	+	9233524	TSS1500	cg25103337	ENSG00000049239.11	H6PD	protein_coding	ENST00000377403.5	H6PD-001	protein_coding	hypermethylation	3.18e-51	1.68e-49	0.315232939791437	0.609892080878011	0.294659141086574
Breast invasive carcinoma	TCGA	chr1	+	9317925	intron	cg26363759	ENSG00000171621.12	SPSB1	protein_coding	ENST00000450402.1	SPSB1-004	protein_coding	hypermethylation	8.83e-40	2.44e-38	0.327882202147196	0.788223202271883	0.460341000124687
Breast invasive carcinoma	TCGA	chr1	+	10511451	intron	cg22400059	ENSG00000142655.11	PEX14	protein_coding	ENST00000491661.2	PEX14-004	protein_coding	hypomethylation	1.2e-56	8.66e-55	-0.334295380082612	0.45477341734698	0.789068797429592
Breast invasive carcinoma	TCGA	chr1	+	12775102	1_exon	cg13394110	ENSG00000116726.4	PRAMEF12	protein_coding	ENST00000357726.4	PRAMEF12-001	protein_coding	hypomethylation	7.33e-37	1.71e-35	-0.308143270847926	0.559244823969114	0.867388094817041
Breast invasive carcinoma	TCGA	chr1	+	13583326	TSS1500	cg25286482	ENSG00000162493.15	PDPN	protein_coding	ENST00000513143.4	PDPN-007	protein_coding	hypermethylation	1.51e-33	2.89e-32	0.30443726012285	0.574574018592878	0.270136758470028
Breast invasive carcinoma	TCGA	chr1	+	13583643	TSS1500	cg11791751	ENSG00000162493.15	PDPN	protein_coding	ENST00000513143.4	PDPN-007	protein_coding	hypermethylation	3.9e-26	4.78e-25	0.300919282671488	0.374204949608616	0.0732856669371284
Breast invasive carcinoma	TCGA	chr1	+	13584060	TSS1500	cg18877506	ENSG00000162493.15	PDPN	protein_coding	ENST00000475043.4	PDPN-005	protein_coding	hypermethylation	1.4e-42	4.55e-41	0.325476006237343	0.413179364041039	0.0877033578036959
Breast invasive carcinoma	TCGA	chr1	+	13584074	TSS1500	cg21819468	ENSG00000162493.15	PDPN	protein_coding	ENST00000475043.4	PDPN-005	protein_coding	hypermethylation	3.93e-32	6.97e-31	0.31687024397534	0.342598790234712	0.0257285462593724
Breast invasive carcinoma	TCGA	chr1	+	14602449	intron	cg08538034	ENSG00000189337.14	KAZN	protein_coding	ENST00000503743.4	KAZN-006	protein_coding	hypermethylation	3.24e-33	6.12e-32	0.310752593744231	0.525285256002615	0.214532662258384
Breast invasive carcinoma	TCGA	chr1	+	15201021	intron	cg06869505	ENSG00000171729.12	TMEM51	protein_coding	ENST00000376008.2	TMEM51-001	protein_coding	hypomethylation	1.03e-64	1.16e-62	-0.312509548359963	0.368323405186405	0.680832953546368
Breast invasive carcinoma	TCGA	chr1	+	18630526	TSS1500	cg05052324	ENSG00000009709.10	PAX7	protein_coding	ENST00000400661.3	PAX7-003	protein_coding	hypermethylation	5.38e-42	1.7e-40	0.353987415797096	0.433551820529849	0.0795644047327527
Breast invasive carcinoma	TCGA	chr1	+	18630738	TSS1500	cg07536847	ENSG00000009709.10	PAX7	protein_coding	ENST00000400661.3	PAX7-003	protein_coding	hypermethylation	2.06e-50	1.04e-48	0.333459454355168	0.470569295570134	0.137109841214967
Breast invasive carcinoma	TCGA	chr1	+	18632774	intron	cg00065215	ENSG00000009709.10	PAX7	protein_coding	ENST00000400661.3	PAX7-003	protein_coding	hypermethylation	1.05e-26	1.33e-25	0.303570859865735	0.35397985783918	0.0504089979734442
Breast invasive carcinoma	TCGA	chr1	+	18636443	intron	cg15213210	ENSG00000009709.10	PAX7	protein_coding	ENST00000400661.3	PAX7-003	protein_coding	hypermethylation	3.87e-36	8.68e-35	0.331220444083285	0.391875012364692	0.0606545682814071
Breast invasive carcinoma	TCGA	chr1	-	18949742	intron	cg22867719	ENSG00000169991.9	IFFO2	protein_coding	ENST00000416166.1	IFFO2-002	protein_coding	hypermethylation	2.24e-63	2.36e-61	0.304325347190344	0.653486151958729	0.349160804768385
Breast invasive carcinoma	TCGA	chr1	-	18949859	intron	cg26924440	ENSG00000169991.9	IFFO2	protein_coding	ENST00000416166.1	IFFO2-002	protein_coding	hypermethylation	2.79e-52	1.56e-50	0.334922089798987	0.450525140066229	0.115603050267242
Breast invasive carcinoma	TCGA	chr1	+	19665674	5'UTR	cg27549720	ENSG00000158748.3	HTR6	protein_coding	ENST00000289753.1	HTR6-001	protein_coding	hypermethylation	1.67e-87	7.65e-85	0.437078554611565	0.702988749426311	0.265910194814746
Breast invasive carcinoma	TCGA	chr1	-	22953576	genebody	cg17974166	ENSG00000215906.7	LACTBL1	protein_coding	ENST00000618559.1	LACTBL1-201	protein_coding	hypermethylation	6.46e-33	1.2e-31	0.300172512156796	0.459287844153237	0.159115331996441
Breast invasive carcinoma	TCGA	chr1	-	23169084	TSS1500	cg25610515	ENSG00000169641.12	LUZP1	protein_coding	ENST00000471849.4	LUZP1-003	protein_coding	hypermethylation	3.69e-46	1.47e-44	0.325986185036341	0.543614974871015	0.217628789834674
Breast invasive carcinoma	TCGA	chr1	-	23169811	TSS1500	cg26530485	ENSG00000169641.12	LUZP1	protein_coding	ENST00000471849.4	LUZP1-003	protein_coding	hypermethylation	7.45e-63	7.67e-61	0.360132848970463	0.578019964353782	0.217887115383319
Breast invasive carcinoma	TCGA	chr1	+	26410827	5'UTR	cg02388865	ENSG00000131914.9	LIN28A	protein_coding	ENST00000254231.4	LIN28A-201	protein_coding	hypermethylation	4.96e-36	1.11e-34	0.301203836515683	0.401858301826014	0.10065446531033
Breast invasive carcinoma	TCGA	chr1	+	28517224	TSS1500	cg25596287	ENSG00000180198.14	RCC1	protein_coding	ENST00000430407.1	RCC1-008	protein_coding	hypomethylation	3.72e-100	3.62e-97	-0.3007158430109	0.224899502165881	0.52561534517678
Breast invasive carcinoma	TCGA	chr1	-	32684584	intron	cg22350438	ENSG00000162520.13	SYNC	protein_coding	ENST00000373484.4	SYNC-004	protein_coding	hypermethylation	1.44e-65	1.71e-63	0.338474088476188	0.685227506243574	0.346753417767385
Breast invasive carcinoma	TCGA	chr1	+	34166290	TSS1500	cg01445580	ENSG00000142698.13	C1orf94	protein_coding	ENST00000373374.6	C1orf94-001	protein_coding	hypermethylation	5.17e-34	1.02e-32	0.351128691713355	0.389832158948589	0.0387034672352344
Breast invasive carcinoma	TCGA	chr1	+	33859582	TSS1500	cg09844805	ENSG00000176256.9	HMGB4	protein_coding	ENST00000522796.1	HMGB4-004	protein_coding	hypomethylation	1.49e-37	3.61e-36	-0.305659029092623	0.558791834209811	0.864450863302434
Breast invasive carcinoma	TCGA	chr1	+	34176918	TSS1500	cg02656891	ENSG00000142698.13	C1orf94	protein_coding	ENST00000488417.1	C1orf94-002	protein_coding	hypermethylation	1.62e-31	2.76e-30	0.303447215313481	0.369310883839067	0.0658636685255851
Breast invasive carcinoma	TCGA	chr1	+	34177008	TSS1500	cg16348470	ENSG00000142698.13	C1orf94	protein_coding	ENST00000488417.1	C1orf94-002	protein_coding	hypermethylation	1.1e-70	1.78e-68	0.440238076389133	0.50782397155517	0.0675858951660369
Breast invasive carcinoma	TCGA	chr1	+	34177004	TSS1500	cg22697574	ENSG00000142698.13	C1orf94	protein_coding	ENST00000488417.1	C1orf94-002	protein_coding	hypermethylation	8.31e-53	4.78e-51	0.333260539179488	0.424357822369255	0.0910972831897672
Breast invasive carcinoma	TCGA	chr1	+	34176795	TSS1500	cg24411961	ENSG00000142698.13	C1orf94	protein_coding	ENST00000488417.1	C1orf94-002	protein_coding	hypermethylation	2.59e-88	1.27e-85	0.311237659746112	0.798247193562522	0.48700953381641
Breast invasive carcinoma	TCGA	chr1	+	34792993	TSS200	cg10106804	ENSG00000187513.8	GJA4	protein_coding	ENST00000450137.1	GJA4-002	protein_coding	hypermethylation	1.15e-44	4.19e-43	0.336656366064307	0.39720211727674	0.0605457512124329
Breast invasive carcinoma	TCGA	chr1	-	34885584	genebody	cg18113535	ENSG00000116544.10	DLGAP3	protein_coding	ENST00000235180.4	DLGAP3-201	protein_coding	hypermethylation	1.51e-47	6.48e-46	0.316601646685975	0.509570448057505	0.19296880137153
Breast invasive carcinoma	TCGA	chr1	-	37765173	TSS200	cg21306240	ENSG00000183317.15	EPHA10	protein_coding	ENST00000319637.6	EPHA10-001	protein_coding	hypermethylation	1.48e-59	1.26e-57	0.45630661868435	0.511443825824663	0.0551372071403127
Breast invasive carcinoma	TCGA	chr1	+	39082329	intron	cg11676353	ENSG00000127603.22	MACF1	protein_coding	ENST00000602421.4	MACF1-033	protein_coding	hypermethylation	6.09e-73	1.13e-70	0.343373802444975	0.677510044784405	0.33413624233943
Breast invasive carcinoma	TCGA	chr1	+	39082246	intron	cg20286956	ENSG00000127603.22	MACF1	protein_coding	ENST00000602421.4	MACF1-033	protein_coding	hypermethylation	3.05e-76	6.77e-74	0.453170289063671	0.707597266587507	0.254426977523836
Breast invasive carcinoma	TCGA	chr1	+	39392278	intron	cg26864766	ENSG00000127603.22	MACF1	protein_coding	ENST00000289893.7	MACF1-005	protein_coding	hypermethylation	4.39e-60	3.86e-58	0.330597686312053	0.588629181895344	0.258031495583292
Breast invasive carcinoma	TCGA	chr1	+	39492333	intron	cg11763509	ENSG00000183682.7	BMP8A	protein_coding	ENST00000331593.5	BMP8A-001	protein_coding	hypermethylation	7.52e-60	6.54e-58	0.309663275479565	0.556077725494754	0.246414450015189
Breast invasive carcinoma	TCGA	chr1	-	39684165	intron	cg18438793	ENSG00000116983.11	HPCAL4	protein_coding	ENST00000617690.1	HPCAL4-202	protein_coding	hypermethylation	1.17e-56	8.44e-55	0.475628189891719	0.614541600617447	0.138913410725728
Breast invasive carcinoma	TCGA	chr1	-	40654268	intron	cg02369542	ENSG00000117016.8	RIMS3	protein_coding	ENST00000372683.1	RIMS3-002	protein_coding	hypermethylation	1.21e-68	1.71e-66	0.301303058715955	0.726294909549765	0.42499185083381
Breast invasive carcinoma	TCGA	chr1	-	40654316	intron	cg16328007	ENSG00000117016.8	RIMS3	protein_coding	ENST00000372683.1	RIMS3-002	protein_coding	hypermethylation	6.87e-79	1.79e-76	0.367421353701339	0.706172978515505	0.338751624814166
Breast invasive carcinoma	TCGA	chr1	-	41662816	intron	cg12666727	ENSG00000127124.12	HIVEP3	protein_coding	ENST00000247584.6	HIVEP3-201	protein_coding	hypermethylation	1.45e-21	1.33e-20	0.31216074745061	0.380316686279995	0.0681559388293853
Breast invasive carcinoma	TCGA	chr1	+	47416593	1_exon	cg19809499	ENSG00000186790.5	FOXE3	protein_coding	ENST00000335071.3	FOXE3-001	protein_coding	hypermethylation	5.54e-23	5.56e-22	0.304119868378386	0.343432397330085	0.039312528951699
Breast invasive carcinoma	TCGA	chr1	+	47417067	1_exon	cg22796507	ENSG00000186790.5	FOXE3	protein_coding	ENST00000335071.3	FOXE3-001	protein_coding	hypermethylation	1.92e-75	4.04e-73	0.451327669331991	0.610414213171334	0.159086543839343
Breast invasive carcinoma	TCGA	chr1	-	50422918	intron	cg17800654	ENSG00000142700.10	DMRTA2	protein_coding	ENST00000404795.3	DMRTA2-002	protein_coding	hypermethylation	3.32e-71	5.53e-69	0.391566839459499	0.59940739311321	0.207840553653711
Breast invasive carcinoma	TCGA	chr1	-	50421297	genebody	cg12756396	ENSG00000142700.10	DMRTA2	protein_coding	ENST00000404795.3	DMRTA2-002	protein_coding	hypermethylation	1.9e-64	2.11e-62	0.322188623404402	0.456424945987022	0.134236322582619
Breast invasive carcinoma	TCGA	chr1	-	50421110	genebody	cg16732616	ENSG00000142700.10	DMRTA2	protein_coding	ENST00000404795.3	DMRTA2-002	protein_coding	hypermethylation	3.23e-37	7.7e-36	0.341815711688153	0.39250601598995	0.0506903043017974
Breast invasive carcinoma	TCGA	chr1	-	50421277	genebody	cg25191628	ENSG00000142700.10	DMRTA2	protein_coding	ENST00000404795.3	DMRTA2-002	protein_coding	hypermethylation	9.96e-53	5.71e-51	0.320357938983942	0.386030441140664	0.0656725021567228
Breast invasive carcinoma	TCGA	chr1	-	50418808	genebody	cg10512745	ENSG00000142700.10	DMRTA2	protein_coding	ENST00000404795.3	DMRTA2-002	protein_coding	hypermethylation	1.03e-23	1.08e-22	0.309522539733742	0.341004344649119	0.0314818049153768
Breast invasive carcinoma	TCGA	chr1	-	50418570	3'UTR	cg21774338	ENSG00000142700.10	DMRTA2	protein_coding	ENST00000404795.3	DMRTA2-002	protein_coding	hypermethylation	1.75e-48	7.95e-47	0.301573801115266	0.534769495978378	0.233195694863113
Breast invasive carcinoma	TCGA	chr1	-	50417722	3'UTR	cg23097402	ENSG00000142700.10	DMRTA2	protein_coding	ENST00000404795.3	DMRTA2-002	protein_coding	hypermethylation	3.72e-67	4.88e-65	0.404632676492045	0.607409863129041	0.202777186636996
Breast invasive carcinoma	TCGA	chr1	-	50423553	TSS200	cg00152008	ENSG00000142700.10	DMRTA2	protein_coding	ENST00000404795.3	DMRTA2-002	protein_coding	hypermethylation	7.23e-43	2.4e-41	0.338980009649934	0.407667711458605	0.0686877018086707
Breast invasive carcinoma	TCGA	chr1	-	50423154	5'UTR	cg26560222	ENSG00000142700.10	DMRTA2	protein_coding	ENST00000404795.3	DMRTA2-002	protein_coding	hypermethylation	1.89e-52	1.06e-50	0.40394908948955	0.477006406305987	0.0730573168164377
Breast invasive carcinoma	TCGA	chr1	+	52751686	intron	cg00692173	ENSG00000162378.11	ZYG11B	protein_coding	ENST00000294353.6	ZYG11B-001	protein_coding	hypermethylation	1e-159	2.03e-155	0.383230418817696	0.812045247385481	0.428814828567785
Breast invasive carcinoma	TCGA	chr1	+	53061904	TSS1500	cg04765848	ENSG00000174348.12	PODN	protein_coding	ENST00000618387.1	PODN-202	protein_coding	hypermethylation	4.92e-61	4.57e-59	0.384905714206888	0.51045805582704	0.125552341620153
Breast invasive carcinoma	TCGA	chr1	-	54016564	intron	cg25741118	ENSG00000203985.9	LDLRAD1	protein_coding	ENST00000371360.1	LDLRAD1-001	protein_coding	hypomethylation	1.73e-76	3.91e-74	-0.311246017747823	0.352768891156773	0.664014908904596
Breast invasive carcinoma	TCGA	chr1	-	54781467	genebody	cg19022697	ENSG00000006555.9	TTC22	protein_coding	ENST00000371276.7	TTC22-002	protein_coding	hypermethylation	7.63e-100	7.25e-97	0.326771877603425	0.731458252714899	0.404686375111474
Breast invasive carcinoma	TCGA	chr1	+	54806229	intron	cg01398941	ENSG00000162398.10	C1orf177	protein_coding	ENST00000371273.3	C1orf177-002	protein_coding	hypermethylation	8.14e-90	4.39e-87	0.302057290961532	0.840309514035875	0.538252223074342
Breast invasive carcinoma	TCGA	chr1	+	62195189	intron	cg03731268	ENSG00000240563.1	L1TD1	protein_coding	ENST00000498273.1	L1TD1-001	protein_coding	hypermethylation	9.06e-75	1.84e-72	0.399027820011678	0.596325041950366	0.197297221938688
Breast invasive carcinoma	TCGA	chr1	+	62194952	intron	cg23049458	ENSG00000240563.1	L1TD1	protein_coding	ENST00000498273.1	L1TD1-001	protein_coding	hypermethylation	4.97e-79	1.31e-76	0.444811941518754	0.608349479863582	0.163537538344828
Breast invasive carcinoma	TCGA	chr1	+	64495852	intron	cg17181043	ENSG00000158966.12	CACHD1	protein_coding	ENST00000290039.5	CACHD1-001	protein_coding	hypomethylation	9.52e-46	3.7e-44	-0.322601174725931	0.523788827885558	0.846390002611488
Breast invasive carcinoma	TCGA	chr1	+	64471768	intron	cg24306340	ENSG00000158966.12	CACHD1	protein_coding	ENST00000290039.5	CACHD1-001	protein_coding	hypermethylation	4.51e-51	2.36e-49	0.360099243059862	0.518326181270185	0.158226938210323
Breast invasive carcinoma	TCGA	chr1	-	64889895	intron	cg11743000	ENSG00000162434.10	JAK1	protein_coding	ENST00000342505.4	JAK1-001	protein_coding	hypermethylation	3.44e-115	8.6e-112	0.415114101630354	0.767458738864705	0.352344637234351
Breast invasive carcinoma	TCGA	chr1	+	65523099	intron	cg26342890	ENSG00000116678.17	LEPR	protein_coding	ENST00000406510.6	LEPR-202	protein_coding	hypomethylation	1.79e-47	7.68e-46	-0.316127714997639	0.563686116736876	0.879813831734515
Breast invasive carcinoma	TCGA	chr1	+	65792339	TSS1500	cg16294013	ENSG00000184588.16	PDE4B	protein_coding	ENST00000341517.7	PDE4B-002	protein_coding	hypermethylation	2.48e-43	8.45e-42	0.316487577644346	0.441362320977816	0.12487474333347
Breast invasive carcinoma	TCGA	chr1	+	65792352	TSS1500	cg22336004	ENSG00000184588.16	PDE4B	protein_coding	ENST00000341517.7	PDE4B-002	protein_coding	hypermethylation	3.52e-37	8.38e-36	0.308066178541231	0.381518207500018	0.0734520289587865
