enhancer	Mutation.Status	Methylation.Status	CNV.Status	regualation_class	Methylation_1	Methylation_2	CNV_1	CNV_2	regualation_1	regualation_2	Mutation_1
chr11:10940363-10940655	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr11:113929515-113929738	Non_mutation	Hypermethylation	Del	Downregulated	0	1	1	0	1	0	0
chr11:114127214-114127717	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr11:114224881-114225192	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr11:117878914-117879095	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr11:117879327-117879545	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr11:117881559-117881948	Non_mutation	Hypermethylation	Del	Downregulated	0	1	1	0	1	0	0
chr11:117882756-117883280	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr11:118663387-118663780	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr11:119395840-119396223	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr11:121915938-121916278	Non_mutation	Hypomethylation	Del	Downregulated	1	0	1	0	1	0	0
chr11:122052220-122052515	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr11:122177708-122178168	Non_mutation	Hypomethylation	Del	Downregulated	1	0	1	0	1	0	0
chr11:122936469-122936659	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr11:123951200-123951810	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr11:12561282-12561501	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr11:125992920-125993185	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr11:125997963-125998111	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr11:126001132-126001515	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr11:129242787-129242887	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr11:129244480-129244782	Non_mutation	Hypermethylation	Del	Downregulated	0	1	1	0	1	0	0
chr11:12973520-12973623	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr11:14916687-14916856	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr11:1751706-1752102	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr11:1894620-1894889	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr11:2008416-2008795	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr11:2009660-2010154	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr11:2031573-2031928	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr11:2212480-2212615	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr11:2907965-2908172	Non_mutation	Hypermethylation	Del	Downregulated	0	1	1	0	1	0	0
chr11:33713598-33714029	Non_mutation	Hypermethylation	Amp	Downregulated	0	1	0	1	1	0	0
chr11:6344620-6344857	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr11:7913705-7913868	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr11:91957038-91957557	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr11:9635436-9636077	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr11:9636768-9636900	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr11:9639557-9639822	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr12:12425810-12426042	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr12:13376138-13376415	Non_mutation	Hypomethylation	Del	Downregulated	1	0	1	0	1	0	0
chr12:52241099-52241559	Non_mutation	Hypermethylation	Non_CNV	Downregulated	0	1	0	0	1	0	0
chr14:104018443-104019067	Non_mutation	Hypermethylation	Del	Downregulated	0	1	1	0	1	0	0
chr14:104601589-104601707	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr14:23083172-23083436	Non_mutation	Hypermethylation	Non_CNV	Downregulated	0	1	0	0	1	0	0
chr14:42075138-42075996	Non_mutation	Hypermethylation	Non_CNV	Downregulated	0	1	0	0	1	0	0
chr14:91002225-91002449	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr14:91002583-91003004	Non_mutation	Hypermethylation	Del	Downregulated	0	1	1	0	1	0	0
chr14:95861859-95861987	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr14:95981007-95981377	Non_mutation	Hypermethylation	Del	Downregulated	0	1	1	0	1	0	0
chr14:95981456-95981771	Non_mutation	Hypermethylation	Del	Downregulated	0	1	1	0	1	0	0
chr14:95984814-95985165	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr14:95992355-95992583	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr16:11633611-11633797	Non_mutation	Hypermethylation	Non_CNV	Downregulated	0	1	0	0	1	0	0
chr16:2557760-2557909	Non_mutation	Hypermethylation	Non_CNV	Downregulated	0	1	0	0	1	0	0
chr16:33948799-33949141	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr16:49893175-49893278	Non_mutation	Hypermethylation	Non_CNV	Downregulated	0	1	0	0	1	0	0
chr16:53075249-53075847	Non_mutation	Hypermethylation	Non_CNV	Downregulated	0	1	0	0	1	0	0
chr16:58160772-58161211	Non_mutation	Hypermethylation	Non_CNV	Downregulated	0	1	0	0	1	0	0
chr16:79635433-79635866	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr16:79692252-79692530	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr16:83953538-83953937	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr16:83960761-83960901	Non_mutation	Hypomethylation	Del	Downregulated	1	0	1	0	1	0	0
chr16:85202555-85203049	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr16:86963366-86964014	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr16:87359959-87360279	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr17:4811647-4812042	Non_mutation	Hypermethylation	Non_CNV	Downregulated	0	1	0	0	1	0	0
chr17:6925152-6925653	Non_mutation	Hypermethylation	Del	Downregulated	0	1	1	0	1	0	0
chr17:7035868-7036444	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr17:7236036-7236269	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr17:7737438-7738736	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr17:8095551-8095762	Non_mutation	Hypermethylation	Non_CNV	Downregulated	0	1	0	0	1	0	0
chr18:12306995-12307375	Non_mutation	Hypermethylation	Non_CNV	Downregulated	0	1	0	0	1	0	0
chr18:74277239-74277430	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr18:74277589-74278024	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr19:5804044-5804378	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr19:5989815-5989915	Non_mutation	Hypomethylation	Del	Downregulated	1	0	1	0	1	0	0
chr19:675402-675838	Non_mutation	Hypermethylation	Del	Downregulated	0	1	1	0	1	0	0
chr19:7402747-7403030	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr19:863983-864016	Non_mutation	Hypermethylation	Del	Downregulated	0	1	1	0	1	0	0
chr19:867005-867400	Non_mutation	Hypermethylation	Del	Downregulated	0	1	1	0	1	0	0
chr2:232505425-232505799	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr2:235244091-235244800	Non_mutation	Hypermethylation	Del	Downregulated	0	1	1	0	1	0	0
chr2:235353626-235353934	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr2:235354817-235355457	Non_mutation	Hypermethylation	Del	Downregulated	0	1	1	0	1	0	0
chr2:235360536-235360912	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr2:235372630-235373257	Non_mutation	Hypomethylation	Del	Downregulated	1	0	1	0	1	0	0
chr2:235397514-235398106	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr2:237640726-237641053	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr2:237652147-237652530	Non_mutation	Hypomethylation	Del	Downregulated	1	0	1	0	1	0	0
chr2:237685373-237686074	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr2:237880182-237880685	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr2:237881431-237881780	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr2:237884627-237885186	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr2:237885369-237885886	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr2:238052381-238052681	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr2:238053401-238053581	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr2:238122137-238122516	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr2:238512238-238512938	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr2:239754500-239754642	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr2:239968226-239968465	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr2:241366341-241366661	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr2:241373489-241373922	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr2:242801923-242802843	Non_mutation	Hypermethylation	Non_CNV	Downregulated	0	1	0	0	1	0	0
chr20:1744868-1745008	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr20:1747670-1747986	Non_mutation	Hypomethylation	Del	Downregulated	1	0	1	0	1	0	0
chr20:1757222-1757297	Non_mutation	Hypermethylation	Del	Downregulated	0	1	1	0	1	0	0
chr20:1757792-1758093	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr20:1766926-1767304	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr20:1782055-1782441	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr20:1785698-1786068	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr20:1786412-1786943	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr20:1789800-1790010	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr20:1790289-1790734	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr20:1792448-1792844	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr20:1793760-1794139	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr20:1839579-1839847	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr20:1842464-1842590	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr20:1851849-1852180	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr20:1852496-1852815	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr20:1869680-1870159	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr20:30628092-30628575	Non_mutation	Hypermethylation	Non_CNV	Downregulated	0	1	0	0	1	0	0
chr20:36042310-36042952	Non_mutation	Hypermethylation	Non_CNV	Downregulated	0	1	0	0	1	0	0
chr20:39312030-39312408	Non_mutation	Hypermethylation	Non_CNV	Downregulated	0	1	0	0	1	0	0
chr21:17444153-17444342	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr21:17444568-17444796	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr21:17906909-17907886	Non_mutation	Hypermethylation	Del	Downregulated	0	1	1	0	1	0	0
chr21:28795435-28795716	Non_mutation	Hypermethylation	Non_CNV	Downregulated	0	1	0	0	1	0	0
chr21:44072717-44073208	Non_mutation	Hypermethylation	Non_CNV	Downregulated	0	1	0	0	1	0	0
chr21:44598375-44598751	Non_mutation	Hypermethylation	Non_CNV	Downregulated	0	1	0	0	1	0	0
chr21:45916945-45917393	Non_mutation	Hypermethylation	Non_CNV	Downregulated	0	1	0	0	1	0	0
chr21:47394721-47394936	Non_mutation	Hypermethylation	Non_CNV	Downregulated	0	1	0	0	1	0	0
chr22:39363763-39364255	1	Non_methylation	Non_CNV	Downregulated	0	0	0	0	1	0	NA
chr3:187464496-187464942	Non_mutation	Hypermethylation	Amp	Downregulated	0	1	0	1	1	0	0
chr4:166422422-166422684	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr4:174435467-174435730	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr4:175148409-175148685	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr4:184686793-184687036	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr4:184718887-184719489	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr4:185769532-185770063	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr4:185770455-185770749	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr4:186495067-186495245	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr4:187762182-187762435	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr4:187948547-187948771	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr4:78977065-78977655	Non_mutation	Hypermethylation	Non_CNV	Downregulated	0	1	0	0	1	0	0
chr5:172192263-172193766	Non_mutation	Hypermethylation	Non_CNV	Downregulated	0	1	0	0	1	0	0
chr5:53969444-53970118	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr5:54893100-54893403	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr5:54896440-54896979	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr5:54897039-54897427	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr5:56784239-56784594	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr6:104972844-104972913	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr6:112356617-112357007	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr6:112428707-112428734	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr6:113748852-113749029	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr6:116767554-116767785	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr6:117069916-117070184	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr6:118759105-118759218	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr6:126068034-126068254	Non_mutation	Hypermethylation	Non_CNV	Downregulated	0	1	0	0	1	0	0
chr6:1311143-1311466	Non_mutation	Hypomethylation	Del	Downregulated	1	0	1	0	1	0	0
chr6:140299062-140299512	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr6:143274620-143274763	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr6:143286973-143287055	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr6:144537313-144537754	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr6:148358652-148358995	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr6:148443958-148444368	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr6:148564785-148565120	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr6:151178145-151178545	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr6:157041058-157041538	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr6:158136804-158137189	Non_mutation	Hypermethylation	Del	Downregulated	0	1	1	0	1	0	0
chr6:158185393-158186221	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr6:159449163-159449535	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr6:159488301-159488791	Non_mutation	Hypomethylation	Del	Downregulated	1	0	1	0	1	0	0
chr6:163775171-163775345	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr6:163826086-163826393	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr6:166765505-166765751	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr6:168778167-168778509	Non_mutation	Hypermethylation	Del	Downregulated	0	1	1	0	1	0	0
chr6:169475360-169475647	Non_mutation	Hypomethylation	Del	Downregulated	1	0	1	0	1	0	0
chr6:169827902-169828288	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr6:170208297-170208700	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr6:170338493-170338711	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr6:170482866-170483129	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr6:170491997-170492052	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr6:170492436-170492647	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr6:5991749-5992069	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr6:5994378-5994644	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr6:6885637-6886125	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr6:7701709-7702095	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr7:128094514-128094949	Non_mutation	Hypermethylation	Non_CNV	Downregulated	0	1	0	0	1	0	0
chr7:1501148-1501314	Non_mutation	Hypomethylation	Del	Downregulated	1	0	1	0	1	0	0
chr7:150317630-150317699	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr7:151591335-151591652	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr7:151622915-151623433	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr7:33943577-33943776	Non_mutation	Hypermethylation	Non_CNV	Downregulated	0	1	0	0	1	0	0
chr7:89354-89662	Non_mutation	Hypermethylation	Non_CNV	Downregulated	0	1	0	0	1	0	0
chr8:10725251-10725387	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr8:12615021-12615285	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr8:12615395-12615750	Non_mutation	Hypermethylation	Del	Downregulated	0	1	1	0	1	0	0
chr8:144107532-144108153	Non_mutation	Hypermethylation	Amp	Downregulated	0	1	0	1	1	0	0
chr8:144302525-144302816	Non_mutation	Hypermethylation	Amp	Downregulated	0	1	0	1	1	0	0
chr8:144328155-144328364	Non_mutation	Hypermethylation	Amp	Downregulated	0	1	0	1	1	0	0
chr8:16999712-16999890	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr8:19075736-19075934	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr8:22535910-22536200	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr8:2530387-2530737	Non_mutation	Hypomethylation	Del	Downregulated	1	0	1	0	1	0	0
chr8:2740285-2740400	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr8:27449540-27450013	Non_mutation	Hypomethylation	Del	Downregulated	1	0	1	0	1	0	0
chr8:27559719-27559880	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr8:2774023-2774367	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr8:29526859-29527039	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr8:29946002-29946367	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr8:29948448-29949236	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr8:30237954-30238310	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr8:30435369-30435466	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr8:38757431-38758061	Non_mutation	Hypermethylation	Amp	Downregulated	0	1	0	1	1	0	0
chr8:55382610-55382722	Non_mutation	Hypermethylation	Amp	Downregulated	0	1	0	1	1	0	0
chr8:6721983-6722491	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr8:6725876-6726138	Non_mutation	Hypermethylation	Del	Downregulated	0	1	1	0	1	0	0
chr8:97350195-97350563	Non_mutation	Hypermethylation	Non_CNV	Downregulated	0	1	0	0	1	0	0
chr9:134114047-134114338	Non_mutation	Hypermethylation	Non_CNV	Downregulated	0	1	0	0	1	0	0
chr9:139538017-139538160	Non_mutation	Hypermethylation	Non_CNV	Downregulated	0	1	0	0	1	0	0
chr9:139541579-139541677	Non_mutation	Hypermethylation	Non_CNV	Downregulated	0	1	0	0	1	0	0
chr9:14992180-14992514	Non_mutation	Hypomethylation	Del	Downregulated	1	0	1	0	1	0	0
chr9:1917403-1917482	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr9:2490043-2490145	Non_mutation	Hypermethylation	Del	Downregulated	0	1	1	0	1	0	0
chr1:1173386-1173736	Non_mutation	Hypomethylation	Non_CNV	Upregulated	1	0	0	0	0	1	0
chr1:233809261-233809638	Non_mutation	Non_methylation	Amp	Upregulated	0	0	0	1	0	1	0
chr1:233811305-233811449	Non_mutation	Non_methylation	Amp	Upregulated	0	0	0	1	0	1	0
chr1:234757412-234757805	Non_mutation	Non_methylation	Amp	Upregulated	0	0	0	1	0	1	0
chr1:234862200-234862535	Non_mutation	Hypermethylation	Amp	Upregulated	0	1	0	1	0	1	0
chr1:235010375-235010572	Non_mutation	Non_methylation	Amp	Upregulated	0	0	0	1	0	1	0
chr1:235012060-235012373	Non_mutation	Non_methylation	Amp	Upregulated	0	0	0	1	0	1	0
chr1:235188116-235188420	Non_mutation	Non_methylation	Amp	Upregulated	0	0	0	1	0	1	0
chr1:242108255-242108348	Non_mutation	Non_methylation	Amp	Upregulated	0	0	0	1	0	1	0
chr10:179287-179666	Non_mutation	Hypomethylation	Non_CNV	Upregulated	1	0	0	0	0	1	0
chr10:3797195-3797502	Non_mutation	Non_methylation	Amp	Upregulated	0	0	0	1	0	1	0
chr10:3845250-3845852	Non_mutation	Non_methylation	Amp	Upregulated	0	0	0	1	0	1	0
chr10:3848037-3849536	Non_mutation	Non_methylation	Amp	Upregulated	0	0	0	1	0	1	0
chr10:3850308-3850795	Non_mutation	Non_methylation	Amp	Upregulated	0	0	0	1	0	1	0
chr10:3852273-3852886	Non_mutation	Non_methylation	Amp	Upregulated	0	0	0	1	0	1	0
chr10:5504427-5504665	Non_mutation	Hypermethylation	Amp	Upregulated	0	1	0	1	0	1	0
chr10:5528772-5529321	Non_mutation	Non_methylation	Amp	Upregulated	0	0	0	1	0	1	0
chr10:5530637-5531333	Non_mutation	Hypomethylation	Amp	Upregulated	1	0	0	1	0	1	0
chr10:5535635-5536039	Non_mutation	Hypomethylation	Amp	Upregulated	1	0	0	1	0	1	0
chr10:5587810-5588190	Non_mutation	Non_methylation	Amp	Upregulated	0	0	0	1	0	1	0
chr10:5588881-5589169	Non_mutation	Non_methylation	Amp	Upregulated	0	0	0	1	0	1	0
chr10:5590010-5590295	Non_mutation	Non_methylation	Amp	Upregulated	0	0	0	1	0	1	0
chr10:5590507-5590769	Non_mutation	Non_methylation	Amp	Upregulated	0	0	0	1	0	1	0
chr10:5590959-5591270	Non_mutation	Non_methylation	Amp	Upregulated	0	0	0	1	0	1	0
